Date,Hour,Station,Ridership,hour,temp,rhum,prcp,wspd,pres,cldc,coco
2025-08-01,0,Attiguppe,0,0,21.2,93,0.0,11.2,1012.0,6,3
2025-08-01,1,Attiguppe,0,1,20.0,94,0.0,14.8,1013.0,4,3
2025-08-01,2,Attiguppe,0,2,21.0,94,0.0,14.8,1013.0,4,3
2025-08-01,3,Attiguppe,0,3,22.4,85,0.0,16.6,1014.0,6,3
2025-08-01,4,Attiguppe,6,4,24.0,83,0.0,16.6,1014.0,2,3
2025-08-01,5,Attiguppe,65,5,26.0,74,0.0,18.4,1014.0,4,3
2025-08-01,6,Attiguppe,219,6,26.4,68,0.0,18.4,1013.0,6,3
2025-08-01,7,Attiguppe,646,7,28.0,66,0.0,18.4,1013.0,4,3
2025-08-01,8,Attiguppe,1338,8,29.0,62,0.2,18.4,1012.0,4,3
2025-08-01,9,Attiguppe,1818,9,29.0,62,0.1,18.4,1011.0,4,7
2025-08-01,10,Attiguppe,1039,10,29.0,58,0.2,18.4,1011.0,4,3
2025-08-01,11,Attiguppe,502,11,28.0,66,0.2,18.4,1011.0,4,3
2025-08-01,12,Attiguppe,364,12,28.6,53,0.0,20.5,1011.0,7,3
2025-08-01,13,Attiguppe,336,13,27.0,66,0.0,13.0,1012.0,4,18
2025-08-01,14,Attiguppe,318,14,25.0,74,0.0,7.6,1012.0,4,7
2025-08-01,15,Attiguppe,317,15,25.0,74,0.0,7.6,1013.0,4,7
2025-08-01,16,Attiguppe,307,16,25.0,74,0.0,14.8,1014.0,4,3
2025-08-01,17,Attiguppe,324,17,24.0,78,0.0,9.4,1014.0,4,3
2025-08-01,18,Attiguppe,371,18,24.2,70,0.0,7.6,1014.0,4,3
2025-08-01,19,Attiguppe,369,19,23.0,83,0.0,11.2,1013.0,2,3
2025-08-01,20,Attiguppe,329,20,23.0,83,0.0,14.8,1013.0,2,3
2025-08-01,21,Attiguppe,202,21,22.0,88,0.0,9.4,1012.0,4,3
2025-08-01,22,Attiguppe,141,22,22.0,88,0.0,9.4,1012.0,4,2
2025-08-01,23,Attiguppe,23,23,21.0,88,0.0,13.0,1012.0,4,2
2025-08-01,0,Baiyappanahalli,0,0,21.2,93,0.0,11.2,1012.0,6,3
2025-08-01,1,Baiyappanahalli,0,1,20.0,94,0.0,14.8,1013.0,4,3
2025-08-01,2,Baiyappanahalli,0,2,21.0,94,0.0,14.8,1013.0,4,3
2025-08-01,3,Baiyappanahalli,0,3,22.4,85,0.0,16.6,1014.0,6,3
2025-08-01,4,Baiyappanahalli,19,4,24.0,83,0.0,16.6,1014.0,2,3
2025-08-01,5,Baiyappanahalli,83,5,26.0,74,0.0,18.4,1014.0,4,3
2025-08-01,6,Baiyappanahalli,215,6,26.4,68,0.0,18.4,1013.0,6,3
2025-08-01,7,Baiyappanahalli,918,7,28.0,66,0.0,18.4,1013.0,4,3
2025-08-01,8,Baiyappanahalli,1727,8,29.0,62,0.2,18.4,1012.0,4,3
2025-08-01,9,Baiyappanahalli,2718,9,29.0,62,0.1,18.4,1011.0,4,7
2025-08-01,10,Baiyappanahalli,1415,10,29.0,58,0.2,18.4,1011.0,4,3
2025-08-01,11,Baiyappanahalli,663,11,28.0,66,0.2,18.4,1011.0,4,3
2025-08-01,12,Baiyappanahalli,563,12,28.6,53,0.0,20.5,1011.0,7,3
2025-08-01,13,Baiyappanahalli,428,13,27.0,66,0.0,13.0,1012.0,4,18
2025-08-01,14,Baiyappanahalli,378,14,25.0,74,0.0,7.6,1012.0,4,7
2025-08-01,15,Baiyappanahalli,456,15,25.0,74,0.0,7.6,1013.0,4,7
2025-08-01,16,Baiyappanahalli,497,16,25.0,74,0.0,14.8,1014.0,4,3
2025-08-01,17,Baiyappanahalli,880,17,24.0,78,0.0,9.4,1014.0,4,3
2025-08-01,18,Baiyappanahalli,942,18,24.2,70,0.0,7.6,1014.0,4,3
2025-08-01,19,Baiyappanahalli,923,19,23.0,83,0.0,11.2,1013.0,2,3
2025-08-01,20,Baiyappanahalli,489,20,23.0,83,0.0,14.8,1013.0,2,3
2025-08-01,21,Baiyappanahalli,373,21,22.0,88,0.0,9.4,1012.0,4,3
2025-08-01,22,Baiyappanahalli,134,22,22.0,88,0.0,9.4,1012.0,4,2
2025-08-01,23,Baiyappanahalli,15,23,21.0,88,0.0,13.0,1012.0,4,2
2025-08-01,0,Banashankari,0,0,21.2,93,0.0,11.2,1012.0,6,3
2025-08-01,1,Banashankari,0,1,20.0,94,0.0,14.8,1013.0,4,3
2025-08-01,2,Banashankari,0,2,21.0,94,0.0,14.8,1013.0,4,3
2025-08-01,3,Banashankari,0,3,22.4,85,0.0,16.6,1014.0,6,3
2025-08-01,4,Banashankari,0,4,24.0,83,0.0,16.6,1014.0,2,3
2025-08-01,5,Banashankari,56,5,26.0,74,0.0,18.4,1014.0,4,3
2025-08-01,6,Banashankari,174,6,26.4,68,0.0,18.4,1013.0,6,3
2025-08-01,7,Banashankari,493,7,28.0,66,0.0,18.4,1013.0,4,3
2025-08-01,8,Banashankari,1195,8,29.0,62,0.2,18.4,1012.0,4,3
2025-08-01,9,Banashankari,1341,9,29.0,62,0.1,18.4,1011.0,4,7
2025-08-01,10,Banashankari,996,10,29.0,58,0.2,18.4,1011.0,4,3
2025-08-01,11,Banashankari,741,11,28.0,66,0.2,18.4,1011.0,4,3
2025-08-01,12,Banashankari,866,12,28.6,53,0.0,20.5,1011.0,7,3
2025-08-01,13,Banashankari,930,13,27.0,66,0.0,13.0,1012.0,4,18
2025-08-01,14,Banashankari,749,14,25.0,74,0.0,7.6,1012.0,4,7
2025-08-01,15,Banashankari,634,15,25.0,74,0.0,7.6,1013.0,4,7
2025-08-01,16,Banashankari,891,16,25.0,74,0.0,14.8,1014.0,4,3
2025-08-01,17,Banashankari,1216,17,24.0,78,0.0,9.4,1014.0,4,3
2025-08-01,18,Banashankari,1393,18,24.2,70,0.0,7.6,1014.0,4,3
2025-08-01,19,Banashankari,1444,19,23.0,83,0.0,11.2,1013.0,2,3
2025-08-01,20,Banashankari,1039,20,23.0,83,0.0,14.8,1013.0,2,3
2025-08-01,21,Banashankari,661,21,22.0,88,0.0,9.4,1012.0,4,3
2025-08-01,22,Banashankari,330,22,22.0,88,0.0,9.4,1012.0,4,2
2025-08-01,23,Banashankari,35,23,21.0,88,0.0,13.0,1012.0,4,2
2025-08-01,0,Benniganahalli,1,0,21.2,93,0.0,11.2,1012.0,6,3
2025-08-01,1,Benniganahalli,0,1,20.0,94,0.0,14.8,1013.0,4,3
2025-08-01,2,Benniganahalli,0,2,21.0,94,0.0,14.8,1013.0,4,3
2025-08-01,3,Benniganahalli,0,3,22.4,85,0.0,16.6,1014.0,6,3
2025-08-01,4,Benniganahalli,34,4,24.0,83,0.0,16.6,1014.0,2,3
2025-08-01,5,Benniganahalli,182,5,26.0,74,0.0,18.4,1014.0,4,3
2025-08-01,6,Benniganahalli,427,6,26.4,68,0.0,18.4,1013.0,6,3
2025-08-01,7,Benniganahalli,1239,7,28.0,66,0.0,18.4,1013.0,4,3
2025-08-01,8,Benniganahalli,3095,8,29.0,62,0.2,18.4,1012.0,4,3
2025-08-01,9,Benniganahalli,3674,9,29.0,62,0.1,18.4,1011.0,4,7
2025-08-01,10,Benniganahalli,2723,10,29.0,58,0.2,18.4,1011.0,4,3
