C/A,UNIT,SCP,STATION,LINENAME,DATE,TIME,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,08/25/2026,00:00:00,7645100,2601200
A002,R051,02-00-00,59 ST,NQR456W,08/25/2026,04:00:00,7645120,2601215
A002,R051,02-00-00,59 ST,NQR456W,08/25/2026,08:00:00,7645450,2601420
A002,R051,02-00-00,59 ST,NQR456W,08/25/2026,12:00:00,7646100,2601950
A002,R051,02-00-00,59 ST,NQR456W,08/25/2026,16:00:00,7646850,2602550
A002,R051,02-00-00,59 ST,NQR456W,08/25/2026,20:00:00,7647900,2603400
A002,R051,02-00-01,42 ST-GRD CNTRL,4567S,08/25/2026,08:00:00,12850300,5421000
A002,R051,02-00-01,42 ST-GRD CNTRL,4567S,08/25/2026,12:00:00,12852100,5423800
A002,R051,02-00-01,42 ST-GRD CNTRL,4567S,08/25/2026,16:00:00,12853900,5426100
A002,R051,02-00-01,42 ST-GRD CNTRL,4567S,08/25/2026,20:00:00,12856200,5429400
