Unique ID,Datetime,Stop Name,Remote Unit,Line,Connecting Lines,Daytime Routes,North Direction Label,South Direction Label,Division,Structure,Borough,Neighborhood,Latitude,Longitude,Entries,Exits
1,2017-02-04 04:00:00,103 St,R180,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,East Harlem,40.7906,-73.947478,403.0,222.0
2,2017-02-04 04:00:00,103 St,R191,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Upper West Side,40.799446,-73.968379,119.0,145.0
3,2017-02-04 04:00:00,103 St,R314,8th Av - Fulton St,BC,BC,Uptown Bronx,Downtown Brooklyn,IND,Subway,M,Upper West Side,40.796092,-73.961454,55.0,81.0
10,2017-02-04 04:00:00,111 St,R355,Liberty Av,A,A,Manhattan,Lefferts Blvd,IND,Elevated,Q,South Ozone Park/Howard Beach,40.684331,-73.832163,156.0,30.0
11,2017-02-04 04:00:00,116 St,R182,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,East Harlem,40.798629,-73.94161700000001,495.0,303.0
12,2017-02-04 04:00:00,116 St,R324,Lenox - White Plains Rd,23,23,Uptown Bronx,Downtown Brooklyn,IRT,Subway,M,Central Harlem,40.802098,-73.949625,272.0,154.0
13,2017-02-04 04:00:00,116 St,R333,8th Av - Fulton St,BC,BC,Uptown Bronx,Downtown Brooklyn,IND,Subway,M,Central Harlem,40.805085,-73.954882,73.0,78.0
14,2017-02-04 04:00:00,116 St - Columbia University,R159,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Morningside Heights/Hamilton,40.807722,-73.96410999999999,88.0,73.0
17,2017-02-04 04:00:00,125 St,R132,Lexington Av,456,456,Bronx,Downtown Brooklyn,IRT,Subway,M,East Harlem,40.804138,-73.93759399999999,714.0,789.0
19,2017-02-04 04:00:00,125 St,R206,Lenox - White Plains Rd,23,23,Uptown Bronx,Downtown Brooklyn,IRT,Subway,M,Central Harlem,40.807754,-73.945495,251.0,132.0
21,2017-02-04 04:00:00,135 St,R332,8th Av - Fulton St,BC,BC,Uptown Bronx,Downtown Brooklyn,IND,Subway,M,Central Harlem,40.817894,-73.947649,49.0,80.0
22,2017-02-04 04:00:00,137 St - City College,R169,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Morningside Heights/Hamilton,40.822008,-73.953676,364.0,495.0
26,2017-02-04 04:00:00,14 St,R175,8th Av - Fulton St,ACEL,ACE,Uptown - Queens,Downtown Brooklyn,IND,Subway,M,Clinton/Chelsea,40.740893,-74.00169,411.0,262.0
27,2017-02-04 04:00:00,14 St - Union Sq,R170,"Broadway - Brighton, Canarsie",456LNQR,NQRWL,Uptown Queens 8 Av,Downtown Brooklyn Brooklyn,BMT,Subway,M,Financial District,40.7352625,-73.990649,319.0,233.0
28,2017-02-04 04:00:00,14 St - Union Sq,R170,"Broadway - Brighton, Canarsie",LNQR456,NQRWL,Uptown Queens 8 Av,Downtown Brooklyn Brooklyn,BMT,Subway,M,Financial District,40.7352625,-73.990649,650.0,499.0
29,2017-02-04 04:00:00,14 St - Union Sq,R170,"Broadway - Brighton, Canarsie",LNRQ456,NQRWL,Uptown Queens 8 Av,Downtown Brooklyn Brooklyn,BMT,Subway,M,Financial District,40.7352625,-73.990649,957.0,278.0
30,2017-02-04 04:00:00,14 St - Union Sq,R170,Lexington Av,LNQR456,456,Uptown Bronx,Downtown Brooklyn,IRT,Subway,M,Financial District,40.734673,-73.989951,1133.0,730.0
35,2017-02-04 04:00:00,155 St,R315,Concourse,BD,BD,Bronx,Downtown Brooklyn,IND,Subway,M,Central Harlem,40.830135,-73.938209,179.0,90.0
36,2017-02-04 04:00:00,155 St,R331,8th Av - Fulton St,C,C,Uptown,Downtown Brooklyn,IND,Subway,M,Morningside Heights/Hamilton,40.830518,-73.941514,89.0,120.0
37,2017-02-04 04:00:00,157 St,R193,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Washington Heights/Inwood,40.834041,-73.94489,374.0,333.0
38,2017-02-04 04:00:00,163 St - Amsterdam Av,R296,8th Av - Fulton St,C,C,Uptown,Downtown Brooklyn,IND,Subway,M,Washington Heights/Inwood,40.836013,-73.939892,204.0,98.0
46,2017-02-04 04:00:00,170 St,R443,Concourse,BD,BD,Bedford Pk Blvd 205 St,Manhattan,IND,Subway,Bx,Highbridge/Concourse,40.839306,-73.9134,483.0,131.0
47,2017-02-04 04:00:00,174 St,R386,Lenox - White Plains Rd,25,25,Wakefield - Eastchester,Manhattan,IRT,Elevated,Bx,Morrisania/Crotona,40.837288,-73.887734,314.0,209.0
53,2017-02-04 04:00:00,18 Av,R392,Sea Beach,N,N,Manhattan,Coney Island,BMT,Open Cut,Bk,Bensonhurst,40.620671,-73.990414,76.0,84.0
55,2017-02-04 04:00:00,181 St,R174,8th Av - Fulton St,A,A,207 St,Downtown Brooklyn,IND,Subway,M,Washington Heights/Inwood,40.851695,-73.937969,164.0,259.0
63,2017-02-04 04:00:00,20 Av,R393,Sea Beach,N,N,Manhattan,Coney Island,BMT,Open Cut,Bk,Bensonhurst,40.61741,-73.985026,21.0,10.0
65,2017-02-04 04:00:00,21 St,R360,Crosstown,G,G,Court Sq,Brooklyn,IND,Subway,Q,Woodside/Sunnyside,40.744065,-73.949724,94.0,107.0
68,2017-02-04 04:00:00,219 St,R365,Lenox - White Plains Rd,25,25,Wakefield - 241 St,Manhattan,IRT,Elevated,Bx,Williamsbridge/Baychester,40.883895,-73.862633,207.0,40.0
69,2017-02-04 04:00:00,225 St,R366,Lenox - White Plains Rd,25,25,Wakefield - 241 St,Manhattan,IRT,Elevated,Bx,Williamsbridge/Baychester,40.888022,-73.860341,286.0,82.0
72,2017-02-04 04:00:00,23 St,R131,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,Stuyvesant Town/Turtle Bay,40.739864,-73.986599,169.0,300.0
73,2017-02-04 04:00:00,23 St,R190,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Clinton/Chelsea,40.744081,-73.995657,202.0,113.0
77,2017-02-04 04:00:00,233 St,R367,Lenox - White Plains Rd,25,25,Wakefield - 241 St,Manhattan,IRT,Elevated,Bx,Williamsbridge/Baychester,40.893193,-73.857473,262.0,62.0
78,2017-02-04 04:00:00,238 St,R306,Broadway - 7Av,1,1,242 St,Manhattan,IRT,Elevated,Bx,Riverdale/Fieldston,40.884667,-73.90087,134.0,4.0
79,2017-02-04 04:00:00,25 Av,R399,West End,D,D,Manhattan,Coney Island,BMT,Elevated,Bk,Bensonhurst,40.597704,-73.986829,344.0,39.0
83,2017-02-04 04:00:00,28 St,R143,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,Stuyvesant Town/Turtle Bay,40.74307,-73.984264,339.0,376.0
84,2017-02-04 04:00:00,28 St,R272,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Clinton/Chelsea,40.747215,-73.993365,1.0,1.0
86,2017-02-04 04:00:00,3 Av - 138 St,R445,Pelham,6,6,Pelham Bay Park,Manhattan,IRT,Subway,Bx,Hunts Point/Longwood,40.810476,-73.926138,429.0,241.0
