station_id,inflow,outflow,net_occupancy,congestion_level
1 AV,3187,3324,-137,NORMAL
103 ST,1487,930,557,MODERATE
103 ST - CORONA PLAZA,2956,2097,859,MODERATE
104 ST,223,97,126,NORMAL
110 ST,1704,1305,399,NORMAL
111 ST,797,450,347,NORMAL
116 ST,1612,830,782,MODERATE
116 ST - COLUMBIA UNIVERSITY,2248,1154,1094,HIGH
125 ST,2147,1603,544,MODERATE
135 ST,1449,606,843,MODERATE
137 ST - CITY COLLEGE,2217,1898,319,NORMAL
138 ST - GRAND CONCOURSE,448,389,59,NORMAL
14 ST,2569,2118,451,MODERATE
14 ST - UNION SQ,3759,3259,500,MODERATE
145 ST,1786,1387,399,NORMAL
149 ST - GRAND CONCOURSE,1315,1075,240,NORMAL
155 ST,493,312,181,NORMAL
157 ST,1437,928,509,MODERATE
163 ST - AMSTERDAM AV,467,188,279,NORMAL
167 ST,1422,969,453,MODERATE
168 ST,897,347,550,MODERATE
168 ST - WASHINGTON HTS,1796,1871,-75,NORMAL
169 ST,1219,978,241,NORMAL
170 ST,1149,687,462,MODERATE
174 ST,866,731,135,NORMAL
174-175 STS,769,261,508,MODERATE
175 ST,1851,1007,844,MODERATE
176 ST,872,455,417,MODERATE
18 AV,574,373,201,NORMAL
18 ST,1235,746,489,MODERATE
