trip_id,timestamp,route_id,city,route_type,origin_station,dest_station,boarding_count,alighting_count,passenger_count,occupancy_rate,delay_minutes,actual_travel_min,scheduled_travel_min,service_status,cancellation_flag,fare_type,weather_condition,temperature_c,route_length_km,headway_min,vehicle_capacity,operates_night,is_electric,is_peak_hour,is_weekend,is_holiday,is_school_hours,is_night_service,anomaly_flag,anomaly_type,hour,day_of_week,month,year,day_of_year,quarter,week_of_year,season,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,board_6h_mean,board_6h_std,board_6h_max,occ_6h_mean,delay_6h_mean,board_24h_mean,board_24h_std,board_24h_max,occ_24h_mean,delay_24h_mean,board_7d_mean,board_7d_std,board_7d_max,occ_7d_mean,delay_7d_mean,board_lag_1,occ_lag_1,board_lag_24,occ_lag_24,board_lag_168,occ_lag_168,flow_imbalance,board_roc_1h,board_roc_24h,board_acc,occ_volatility,delay_cumsum_4h,route_popularity,efficiency_pax_km,reliability_score,weather_adj_demand,is_crowded,is_overcrowded,rush_intensity,transfer_prob,on_time_flag,consistency_score,board_zscore,is_board_anomaly,city_hour_mean_board,seasonal_deviation
TRIP_RT_BER_000_0000000,2020-01-01 00:00:00,RT_BER_000,Berlin,tram,STN_BER_0113,STN_BER_0198,0,0,0,0.0,0,79.1,80.2,on_time,0,standard,clear,4.98,40.1,6,150,0,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.4,1,1.0,0.0,0,0.0,0.0
TRIP_RT_LON_000_0000000,2020-01-01 00:00:00,RT_LON_000,London,rail,STN_LON_0066,STN_LON_0009,0,0,0,0.0,0,100.4,97.4,on_time,0,tourist_pass,clear,3.72,48.7,59,600,1,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.5,1,1.0,0.0,0,0.0,0.0
TRIP_RT_NEW_000_0000000,2020-01-01 00:00:00,RT_NEW_000,New_York,bus,STN_NEW_0136,STN_NEW_0045,0,0,0,0.0,0,77.3,73.8,on_time,0,group,clear,7.81,36.9,14,80,1,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.3,1,1.0,0.0,0,0.1,-0.1
TRIP_RT_PAR_014_0000000,2020-01-01 00:00:00,RT_PAR_014,Paris,bus,STN_PAR_0279,STN_PAR_0030,0,0,0,0.0,6,41.1,36.8,on_time,0,concession,light_rain,2.01,18.4,17,80,0,0,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,,,,,,,0,,,,0.0,6.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.3,1,1.0,0.0,0,0.0,0.0
TRIP_RT_TOK_005_0000000,2020-01-01 00:00:00,RT_TOK_005,Tokyo,metro,STN_TOK_0007,STN_TOK_0151,3,3,0,0.0,0,15.7,20.4,on_time,0,standard,cloudy,3.01,10.2,3,800,0,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,1.5,0.294,0.9672,2.85,0,0,0.0,0.6,1,1.0,0.0,0,0.3,2.7
TRIP_RT_SIN_005_0000000,2020-01-01 00:00:00,RT_SIN_005,Singapore,bus,STN_SIN_0048,STN_SIN_0014,0,0,0,0.0,0,69.8,67.4,on_time,0,standard,heavy_rain,5.87,33.7,5,80,1,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.3,1,1.0,0.0,0,0.0,0.0
TRIP_RT_LON_004_0000000,2020-01-01 00:00:00,RT_LON_004,London,bus,STN_LON_0172,STN_LON_0137,0,0,0,0.0,0,106.0,106.2,on_time,0,tourist_pass,clear,5.32,53.1,11,80,0,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.3,1,1.0,0.0,0,0.0,0.0
TRIP_RT_BER_008_0000000,2020-01-01 00:00:00,RT_BER_008,Berlin,tram,STN_BER_0043,STN_BER_0016,0,0,0,0.0,0,39.1,39.0,on_time,0,tourist_pass,light_rain,1.52,19.5,11,150,0,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.4,1,1.0,0.0,0,0.0,0.0
TRIP_RT_TOK_003_0000000,2020-01-01 00:00:00,RT_TOK_003,Tokyo,bus,STN_TOK_0079,STN_TOK_0006,0,0,0,0.0,0,114.8,115.0,on_time,0,child,clear,3.7,57.5,10,80,0,0,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.3,1,1.0,0.0,0,0.3,-0.3
TRIP_RT_TOK_008_0000000,2020-01-01 00:00:00,RT_TOK_008,Tokyo,metro,STN_TOK_0052,STN_TOK_0089,0,0,0,0.0,0,16.7,16.8,on_time,0,tourist_pass,clear,2.88,8.4,2,800,0,1,0,0,1,0,1,0,none,0,2,1,2020,1,1,1,winter,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0.0,0.9672,0.0,0,0,0.0,0.6,1,1.0,0.0,0,0.3,-0.3
