event_id,station_code,timestamp,card_type,direction,gate_id,fare_amount
TX0000000,ST03,2026-06-28 06:00:00,smart_card,entry,G04,1.94
TX0000001,ST05,2026-08-20 11:00:00,smart_card,entry,G03,4.5
TX0000002,ST03,2026-07-17 17:00:00,day_pass,exit,G08,4.25
TX0000003,ST05,2026-07-30 18:00:00,smart_card,exit,G02,3.35
TX0000004,ST07,2026-07-11 08:00:00,monthly_pass,exit,G05,3.39
TX0000005,ST09,2026-06-28 13:00:00,smart_card,exit,G02,2.34
TX0000006,ST08,2026-07-01 06:00:00,smart_card,entry,G02,2.67
TX0000007,ST03,2026-08-02 01:00:00,smart_card,exit,G05,2.12
TX0000008,ST05,2026-07-09 15:00:00,smart_card,entry,G08,4.35
TX0000009,ST02,2026-08-20 10:00:00,smart_card,entry,G09,3.95
TX0000010,ST10,2026-08-08 11:00:00,smart_card,exit,G12,2.38
TX0000011,ST10,2026-07-25 06:00:00,smart_card,exit,G04,2.59
TX0000012,ST07,2026-07-28 03:00:00,smart_card,entry,G05,1.53
TX0000013,ST09,2026-06-24 19:00:00,smart_card,exit,G11,2.3
TX0000014,ST06,2026-07-17 05:00:00,smart_card,exit,G03,2.3
TX0000015,ST06,2026-06-23 01:00:00,smart_card,exit,G08,1.96
TX0000016,ST05,2026-07-05 03:00:00,smart_card,entry,G09,4.25
TX0000017,ST09,2026-08-07 06:00:00,monthly_pass,entry,G06,1.57
TX0000018,ST01,2026-07-04 07:00:00,smart_card,exit,G11,3.18
TX0000019,ST10,2026-08-13 16:00:00,smart_card,exit,G04,2.75
TX0000020,ST06,2026-07-08 04:00:00,monthly_pass,exit,G02,2.7
TX0000021,ST02,2026-07-16 23:00:00,day_pass,entry,G02,1.95
TX0000022,ST08,2026-08-04 16:00:00,smart_card,exit,G07,3.88
TX0000023,ST10,2026-07-06 11:00:00,monthly_pass,entry,G07,2.47
TX0000024,ST04,2026-07-15 14:00:00,monthly_pass,exit,G07,3.55
TX0000025,ST04,2026-07-29 14:00:00,single_ticket,exit,G05,2.45
TX0000026,ST10,2026-08-19 05:00:00,single_ticket,exit,G06,4.23
TX0000027,ST06,2026-07-26 16:00:00,single_ticket,entry,G12,2.18
TX0000028,ST05,2026-07-30 23:00:00,monthly_pass,entry,G06,4.0
TX0000029,ST06,2026-08-08 09:00:00,smart_card,entry,G09,3.73
TX0000030,ST05,2026-08-15 22:00:00,day_pass,exit,G11,4.11
TX0000031,ST05,2026-07-30 09:00:00,smart_card,exit,G02,4.46
TX0000032,ST04,2026-07-27 19:00:00,single_ticket,exit,G03,3.23
TX0000033,ST06,2026-07-16 23:00:00,monthly_pass,exit,G07,3.69
TX0000034,ST10,2026-08-09 15:00:00,smart_card,exit,G09,3.21
TX0000035,ST09,2026-07-10 11:00:00,smart_card,exit,G11,4.18
TX0000036,ST10,2026-07-06 20:00:00,day_pass,exit,G09,3.35
TX0000037,ST04,2026-08-16 11:00:00,single_ticket,entry,G12,4.04
TX0000038,ST03,2026-08-15 20:00:00,single_ticket,exit,G12,2.29
TX0000039,ST04,2026-08-10 12:00:00,monthly_pass,entry,G12,1.63
TX0000040,ST06,2026-06-28 09:00:00,smart_card,entry,G08,1.8
TX0000041,ST03,2026-07-24 17:00:00,single_ticket,entry,G10,3.46
TX0000042,ST07,2026-07-28 13:00:00,single_ticket,exit,G12,4.01
TX0000043,ST05,2026-08-20 20:00:00,smart_card,entry,G04,2.23
