station_id,time_segment,avg_inflow,peak_inflow,flow_volatility,avg_outflow,peak_outflow,bottleneck_profile
1 Av,Evening Rush,5098,7223,1584.6,4875,6689,CHRONIC BOTTLENECK
1 Av,Midday Flow,3224,4430,745.5,3626,4447,CHRONIC BOTTLENECK
1 Av,Morning Rush,3653,5174,1864.3,4564,6486,CHRONIC BOTTLENECK
1 Av,Night Service,1118,3267,928.9,1012,2696,CHRONIC BOTTLENECK
103 St,Evening Rush,2032,4395,1187.3,1576,3317,CHRONIC BOTTLENECK
103 St,Midday Flow,2502,3981,1174.5,1154,2572,CHRONIC BOTTLENECK
103 St,Morning Rush,2064,3521,1115.8,855,2308,CHRONIC BOTTLENECK
103 St,Night Service,342,900,267.6,336,935,STABLE FLOW
103 St - Corona Plaza,Evening Rush,2396,3451,713.3,4004,5760,CHRONIC BOTTLENECK
103 St - Corona Plaza,Midday Flow,3804,4361,561.5,1600,1773,CHRONIC BOTTLENECK
103 St - Corona Plaza,Morning Rush,6648,8665,2310.4,1080,1350,CHRONIC BOTTLENECK
103 St - Corona Plaza,Night Service,1242,3031,1268.8,1015,2197,CHRONIC BOTTLENECK
104 St,Evening Rush,154,293,61.7,216,370,STABLE FLOW
104 St,Midday Flow,298,451,100.7,69,120,STABLE FLOW
104 St,Morning Rush,574,835,272.3,62,103,STABLE FLOW
104 St,Night Service,107,359,118.2,28,113,STABLE FLOW
110 St,Evening Rush,2167,3571,905.1,2150,2899,CHRONIC BOTTLENECK
110 St,Midday Flow,2444,3101,596.0,1409,1697,CHRONIC BOTTLENECK
110 St,Morning Rush,3115,4395,1434.8,1427,2024,CHRONIC BOTTLENECK
110 St,Night Service,311,551,101.1,479,966,STABLE FLOW
