train_code,station_code,line,scheduled_departure,actual_departure,delay_min,status,occupancy_pct
TR-R01,ST01,Red,2026-08-07 09:15:00,2026-08-07 09:15:00,0,on_time,88.8
TR-R01,ST01,Red,2026-08-08 09:00:00,2026-08-08 09:13:00,13,delayed,65.3
TR-R01,ST01,Red,2026-08-09 06:00:00,2026-08-09 06:01:00,1,on_time,50.4
TR-R01,ST01,Red,2026-08-10 07:00:00,2026-08-10 07:08:00,8,delayed,81.7
TR-R01,ST01,Red,2026-08-11 07:45:00,2026-08-11 07:57:00,12,delayed,56.3
TR-R01,ST01,Red,2026-08-12 05:00:00,2026-08-12 05:02:00,2,on_time,50.4
TR-R01,ST01,Red,2026-08-13 06:15:00,2026-08-13 06:17:00,2,on_time,76.8
TR-R01,ST01,Red,2026-08-14 05:15:00,2026-08-14 05:15:00,0,on_time,44.3
TR-R01,ST01,Red,2026-08-15 08:45:00,2026-08-15 08:45:00,0,on_time,70.6
TR-R01,ST01,Red,2026-08-16 07:15:00,2026-08-16 07:21:00,6,minor_delay,78.6
TR-R01,ST01,Red,2026-08-17 05:30:00,2026-08-17 05:33:00,3,minor_delay,48.0
TR-R01,ST01,Red,2026-08-18 07:30:00,2026-08-18 07:44:00,14,delayed,76.5
TR-R01,ST01,Red,2026-08-19 06:15:00,2026-08-19 06:18:00,3,minor_delay,37.3
TR-R01,ST01,Red,2026-08-20 08:00:00,2026-08-20 08:09:00,9,delayed,33.3
TR-R02,ST01,Red,2026-08-07 05:45:00,2026-08-07 05:48:00,3,minor_delay,61.6
TR-R02,ST01,Red,2026-08-08 05:00:00,2026-08-08 05:10:00,10,delayed,40.3
TR-R02,ST01,Red,2026-08-09 05:30:00,2026-08-09 05:33:00,3,minor_delay,75.1
TR-R02,ST01,Red,2026-08-10 07:00:00,2026-08-10 07:05:00,5,minor_delay,56.5
TR-R02,ST01,Red,2026-08-11 05:00:00,2026-08-11 05:01:00,1,on_time,49.1
TR-R02,ST01,Red,2026-08-12 07:00:00,2026-08-12 07:03:00,3,minor_delay,43.4
TR-R02,ST01,Red,2026-08-13 09:15:00,2026-08-13 09:16:00,1,on_time,110.0
TR-R02,ST01,Red,2026-08-14 06:30:00,2026-08-14 06:30:00,0,on_time,91.7
TR-R02,ST01,Red,2026-08-15 05:00:00,2026-08-15 05:06:00,6,minor_delay,64.5
TR-R02,ST01,Red,2026-08-16 07:15:00,2026-08-16 07:23:00,8,delayed,71.6
TR-R02,ST01,Red,2026-08-17 07:15:00,2026-08-17 07:18:00,3,minor_delay,103.5
TR-R02,ST01,Red,2026-08-18 08:30:00,2026-08-18 08:31:00,1,on_time,67.3
TR-R02,ST01,Red,2026-08-19 05:00:00,2026-08-19 05:00:00,0,on_time,96.7
TR-R02,ST01,Red,2026-08-20 06:00:00,2026-08-20 06:01:00,1,on_time,77.1
TR-R03,ST01,Red,2026-08-07 05:00:00,2026-08-07 05:01:00,1,on_time,75.3
TR-R03,ST01,Red,2026-08-08 09:15:00,2026-08-08 09:16:00,1,on_time,70.7
TR-R03,ST01,Red,2026-08-09 05:00:00,2026-08-09 05:00:00,0,on_time,81.9
TR-R03,ST01,Red,2026-08-10 06:00:00,2026-08-10 06:01:00,1,on_time,57.1
TR-R03,ST01,Red,2026-08-11 06:45:00,2026-08-11 06:52:00,7,delayed,64.8
TR-R03,ST01,Red,2026-08-12 06:45:00,2026-08-12 06:45:00,0,on_time,48.7
TR-R03,ST01,Red,2026-08-13 06:45:00,2026-08-13 06:50:00,5,minor_delay,66.8
TR-R03,ST01,Red,2026-08-14 06:00:00,2026-08-14 06:00:00,0,on_time,40.3
TR-R03,ST01,Red,2026-08-15 09:15:00,2026-08-15 09:19:00,4,minor_delay,74.5
TR-R03,ST01,Red,2026-08-16 06:30:00,2026-08-16 06:32:00,2,on_time,58.6
TR-R03,ST01,Red,2026-08-17 08:00:00,2026-08-17 08:08:00,8,delayed,53.1
TR-R03,ST01,Red,2026-08-18 05:00:00,2026-08-18 05:03:00,3,minor_delay,68.3
TR-R03,ST01,Red,2026-08-19 08:45:00,2026-08-19 08:47:00,2,on_time,71.9
TR-R03,ST01,Red,2026-08-20 08:15:00,2026-08-20 08:19:00,4,minor_delay,65.0
TR-R04,ST02,Red,2026-08-07 07:00:00,2026-08-07 07:03:00,3,minor_delay,76.6
TR-R04,ST02,Red,2026-08-08 07:45:00,2026-08-08 07:45:00,0,on_time,37.5
TR-R04,ST02,Red,2026-08-09 05:00:00,2026-08-09 05:01:00,1,on_time,79.6
TR-R04,ST02,Red,2026-08-10 06:45:00,2026-08-10 06:45:00,0,on_time,53.0
TR-R04,ST02,Red,2026-08-11 07:45:00,2026-08-11 07:46:00,1,on_time,109.2
TR-R04,ST02,Red,2026-08-12 07:30:00,2026-08-12 07:31:00,1,on_time,83.9
TR-R04,ST02,Red,2026-08-13 08:45:00,2026-08-13 08:52:00,7,delayed,70.3
TR-R04,ST02,Red,2026-08-14 07:15:00,2026-08-14 07:22:00,7,delayed,49.6
TR-R04,ST02,Red,2026-08-15 06:15:00,2026-08-15 06:15:00,0,on_time,49.9
TR-R04,ST02,Red,2026-08-16 06:00:00,2026-08-16 06:05:00,5,minor_delay,87.0
TR-R04,ST02,Red,2026-08-17 08:30:00,2026-08-17 08:33:00,3,minor_delay,66.3
TR-R04,ST02,Red,2026-08-18 05:00:00,2026-08-18 05:00:00,0,on_time,52.2
TR-R04,ST02,Red,2026-08-19 06:45:00,2026-08-19 06:50:00,5,minor_delay,75.4
TR-R04,ST02,Red,2026-08-20 08:45:00,2026-08-20 08:48:00,3,minor_delay,96.1
TR-R05,ST02,Red,2026-08-07 09:15:00,2026-08-07 09:17:00,2,on_time,41.9
TR-R05,ST02,Red,2026-08-08 08:45:00,2026-08-08 08:54:00,9,delayed,69.1
TR-R05,ST02,Red,2026-08-09 05:30:00,2026-08-09 05:34:00,4,minor_delay,67.8
TR-R05,ST02,Red,2026-08-10 08:45:00,2026-08-10 08:46:00,1,on_time,56.4
TR-R05,ST02,Red,2026-08-11 07:30:00,2026-08-11 07:34:00,4,minor_delay,82.4
TR-R05,ST02,Red,2026-08-12 07:00:00,2026-08-12 07:00:00,0,on_time,33.2
TR-R05,ST02,Red,2026-08-13 06:15:00,2026-08-13 06:15:00,0,on_time,39.1
TR-R05,ST02,Red,2026-08-14 07:30:00,2026-08-14 07:36:00,6,minor_delay,35.3
TR-R05,ST02,Red,2026-08-15 09:15:00,2026-08-15 09:22:00,7,delayed,102.9
TR-R05,ST02,Red,2026-08-16 07:45:00,2026-08-16 07:48:00,3,minor_delay,54.6
TR-R05,ST02,Red,2026-08-17 07:30:00,2026-08-17 07:38:00,8,delayed,61.3
TR-R05,ST02,Red,2026-08-18 08:00:00,2026-08-18 08:05:00,5,minor_delay,52.0
TR-R05,ST02,Red,2026-08-19 06:45:00,2026-08-19 06:48:00,3,minor_delay,56.1
TR-R05,ST02,Red,2026-08-20 07:15:00,2026-08-20 07:19:00,4,minor_delay,62.3
TR-R06,ST02,Red,2026-08-07 05:45:00,2026-08-07 05:55:00,10,delayed,75.2
TR-R06,ST02,Red,2026-08-08 05:00:00,2026-08-08 05:02:00,2,on_time,77.2
TR-R06,ST02,Red,2026-08-09 05:45:00,2026-08-09 05:50:00,5,minor_delay,55.3
TR-R06,ST02,Red,2026-08-10 09:15:00,2026-08-10 09:21:00,6,minor_delay,62.3
TR-R06,ST02,Red,2026-08-11 05:30:00,2026-08-11 05:38:00,8,delayed,51.0
TR-R06,ST02,Red,2026-08-12 05:15:00,2026-08-12 05:15:00,0,on_time,83.3
TR-R06,ST02,Red,2026-08-13 06:15:00,2026-08-13 06:15:00,0,on_time,61.1
TR-R06,ST02,Red,2026-08-14 08:00:00,2026-08-14 08:08:00,8,delayed,90.3
TR-R06,ST02,Red,2026-08-15 08:00:00,2026-08-15 08:03:00,3,minor_delay,59.1
TR-R06,ST02,Red,2026-08-16 05:15:00,2026-08-16 05:18:00,3,minor_delay,60.4
TR-R06,ST02,Red,2026-08-17 06:00:00,2026-08-17 06:06:00,6,minor_delay,73.7
TR-R06,ST02,Red,2026-08-18 05:15:00,2026-08-18 05:15:00,0,on_time,104.7
TR-R06,ST02,Red,2026-08-19 09:15:00,2026-08-19 09:16:00,1,on_time,73.2
TR-R06,ST02,Red,2026-08-20 06:00:00,2026-08-20 06:00:00,0,on_time,90.9
TR-R07,ST03,Red,2026-08-07 09:15:00,2026-08-07 09:18:00,3,minor_delay,47.9
TR-R07,ST03,Red,2026-08-08 07:30:00,2026-08-08 07:38:00,8,delayed,66.1
TR-R07,ST03,Red,2026-08-09 05:15:00,2026-08-09 05:15:00,0,on_time,61.7
TR-R07,ST03,Red,2026-08-10 05:45:00,2026-08-10 05:46:00,1,on_time,59.0
TR-R07,ST03,Red,2026-08-11 07:30:00,2026-08-11 07:41:00,11,delayed,63.6
TR-R07,ST03,Red,2026-08-12 09:00:00,2026-08-12 09:06:00,6,minor_delay,72.3
TR-R07,ST03,Red,2026-08-13 06:30:00,2026-08-13 06:30:00,0,on_time,67.8
TR-R07,ST03,Red,2026-08-14 05:00:00,2026-08-14 05:03:00,3,minor_delay,73.8
TR-R07,ST03,Red,2026-08-15 08:00:00,2026-08-15 08:05:00,5,minor_delay,48.7
TR-R07,ST03,Red,2026-08-16 07:00:00,2026-08-16 07:04:00,4,minor_delay,81.7
TR-R07,ST03,Red,2026-08-17 08:15:00,2026-08-17 08:17:00,2,on_time,50.0
TR-R07,ST03,Red,2026-08-18 09:00:00,2026-08-18 09:03:00,3,minor_delay,40.6
TR-R07,ST03,Red,2026-08-19 06:00:00,2026-08-19 06:05:00,5,minor_delay,69.8
TR-R07,ST03,Red,2026-08-20 07:00:00,2026-08-20 07:02:00,2,on_time,65.7
