Scenario,Sensor_Type,Occupancy_Count,Crowd_Density_Level,Detection_Time_sec,Peak_Hazard_Exposure_percent,Evacuation_Time_sec,Success_Rate_percent,Decision_Node,Adaptive_Route_ID,Flow_Pattern_Score,Evacuation_Strategy_Type,Comment,Occupancy_Normalized,Density_Normalized,Hazard_Normalized,Combined_Avg,Route_Status
Electrical Fire,CCTV,737,0.55,2.7,9.72,385.0,96.66,Edge-Node-1,11,0.674,Priority-Based,Evacuation improving,0.35248845561826575,0.5,0.3068181818181819,0.3864355458121492,Optimal
Platform Fire,CCTV,201,0.35,4.51,21.53,386.0,98.09,Edge-Node-1,10,0.388,Leader-Based,Potential hazard identified,0.07747562852744998,0.2777777777777778,0.679608585858586,0.3449539973879379,Optimal
Platform Fire,Environmental Sensor,1677,0.77,4.25,19.22,426.0,96.94,Edge-Node-2,12,0.266,Priority-Based,High congestion observed,0.8347870702924577,0.7444444444444445,0.6066919191919192,0.7286411446429404,Dangerous
Station Flooding,CCTV,1772,0.13,3.79,16.35,416.0,95.6,Edge-Node-2,17,0.6,Adaptive,Normal conditions,0.883530015392509,0.03333333333333334,0.516098484848485,0.4776539445247758,Congested
Panic Chain Reaction,CCTV,613,0.17,6.2,16.33,337.0,98.95,Edge-Node-3,16,0.477,Priority-Based,Sensor alert triggered,0.288866085171883,0.07777777777777779,0.5154671717171717,0.29403701155561085,Optimal
Electrical Fire,WiFi Log,368,0.91,5.26,29.12,381.0,97.22,Edge-Node-3,14,0.201,Leader-Based,Normal conditions,0.16316059517701384,0.9000000000000001,0.9191919191919193,0.6607841714563111,Dangerous
Electrical Fire,RFID Log,1262,0.65,4.68,12.66,394.0,95.44,Edge-Node-1,3,0.531,Priority-Based,Normal conditions,0.6218573627501283,0.6111111111111112,0.39962121212121215,0.5441965619941506,Congested
Tunnel Smoke,Smoke Sensor,1526,0.26,4.27,20.74,256.0,94.93,Edge-Node-2,9,0.346,Adaptive,Normal conditions,0.7573114417650076,0.1777777777777778,0.6546717171717171,0.5299203122381675,Congested
Sudden Overcrowding,RFID Log,1423,0.26,2.17,24.44,305.0,95.14,Edge-Node-3,10,0.448,Adaptive,Crowd flow unstable,0.7044638276038994,0.1777777777777778,0.7714646464646465,0.5512354172821079,Congested
Panic Chain Reaction,RFID Log,1044,0.3,6.23,4.19,342.0,94.94,Edge-Node-3,15,0.696,Adaptive,Evacuation improving,0.5100051308363263,0.2222222222222222,0.13226010101010102,0.2881624846895498,Optimal
