line_name,hour,total_flow
Line 1,0,734433
Line 1,5,1345309
Line 1,6,3305714
Line 1,7,8717334
Line 1,8,17506634
Line 1,9,12125637
Line 1,10,9956412
Line 1,11,11106861
Line 1,12,12219072
Line 1,13,13378177
Line 1,14,13384385
Line 1,15,13961652
Line 1,16,13959187
Line 1,17,14942464
Line 1,18,19555013
Line 1,19,13733022
Line 1,20,9267528
Line 1,21,8889047
Line 1,22,7499625
Line 1,23,3776786
Line 2,0,17835463
Line 2,5,21330703
Line 2,6,57847936
Line 2,7,153101874
Line 2,8,254683228
Line 2,9,157392335
Line 2,10,105482357
Line 2,11,101557119
Line 2,12,107559401
Line 2,13,117551895
Line 2,14,115074729
Line 2,15,122368623
Line 2,16,136446066
Line 2,17,163619354
Line 2,18,234137415
Line 2,19,186538035
Line 2,20,126845456
Line 2,21,119682100
Line 2,22,111759734
Line 2,23,64345942
Line 3,0,2010461
Line 3,5,2285260
Line 3,6,8788825
Line 3,7,23296936
Line 3,8,38008034
Line 3,9,26648064
Line 3,10,19369743
Line 3,11,19157893
Line 3,12,19638396
Line 3,13,21444802
Line 3,14,21698585
Line 3,15,22594239
Line 3,16,24707601
Line 3,17,28172009
Line 3,18,38121055
Line 3,19,29056024
Line 3,20,19814756
Line 3,21,17951024
Line 3,22,15862495
Line 3,23,8097774
Line 4,0,2896027
Line 4,5,3212182
Line 4,6,10437418
Line 4,7,26108328
Line 4,8,39225853
Line 4,9,27343739
Line 4,10,20778364
Line 4,11,20333667
Line 4,12,21598878
Line 4,13,23093303
Line 4,14,23292111
Line 4,15,24502183
Line 4,16,26738194
Line 4,17,30890241
Line 4,18,39660556
Line 4,19,32460083
Line 4,20,23056268
Line 4,21,20977700
Line 4,22,19378572
Line 4,23,11403100
