station_code,timestamp,entries,exits
Times_Sq_42St,2021-01-01 00:00:00,288,243
Times_Sq_42St,2021-01-01 01:00:00,373,381
Times_Sq_42St,2021-01-01 02:00:00,383,371
Times_Sq_42St,2021-01-01 03:00:00,252,244
Times_Sq_42St,2021-01-01 04:00:00,331,337
Times_Sq_42St,2021-01-01 05:00:00,726,831
Times_Sq_42St,2021-01-01 06:00:00,1308,1024
Times_Sq_42St,2021-01-01 07:00:00,2289,1970
Times_Sq_42St,2021-01-01 08:00:00,2437,2121
Times_Sq_42St,2021-01-01 09:00:00,2576,2194
Times_Sq_42St,2021-01-01 10:00:00,1974,1645
Times_Sq_42St,2021-01-01 11:00:00,1135,1016
Times_Sq_42St,2021-01-01 12:00:00,1011,831
Times_Sq_42St,2021-01-01 13:00:00,885,837
Times_Sq_42St,2021-01-01 14:00:00,802,741
Times_Sq_42St,2021-01-01 15:00:00,1305,1250
Times_Sq_42St,2021-01-01 16:00:00,1726,1658
Times_Sq_42St,2021-01-01 17:00:00,2876,2784
Times_Sq_42St,2021-01-01 18:00:00,3020,2688
Times_Sq_42St,2021-01-01 19:00:00,2495,2718
Times_Sq_42St,2021-01-01 20:00:00,1432,1344
Times_Sq_42St,2021-01-01 21:00:00,972,749
Times_Sq_42St,2021-01-01 22:00:00,489,410
Times_Sq_42St,2021-01-01 23:00:00,334,260
Times_Sq_42St,2021-01-02 00:00:00,176,162
Times_Sq_42St,2021-01-02 01:00:00,200,182
Times_Sq_42St,2021-01-02 02:00:00,196,172
Times_Sq_42St,2021-01-02 03:00:00,202,218
Times_Sq_42St,2021-01-02 04:00:00,236,227
Times_Sq_42St,2021-01-02 05:00:00,511,499
Times_Sq_42St,2021-01-02 06:00:00,711,601
Times_Sq_42St,2021-01-02 07:00:00,1173,985
Times_Sq_42St,2021-01-02 08:00:00,1350,1245
Times_Sq_42St,2021-01-02 09:00:00,1372,1281
Times_Sq_42St,2021-01-02 10:00:00,1135,875
Times_Sq_42St,2021-01-02 11:00:00,609,551
Times_Sq_42St,2021-01-02 12:00:00,424,390
Times_Sq_42St,2021-01-02 13:00:00,404,364
Times_Sq_42St,2021-01-02 14:00:00,548,468
Times_Sq_42St,2021-01-02 15:00:00,755,662
Times_Sq_42St,2021-01-02 16:00:00,1181,1069
Times_Sq_42St,2021-01-02 17:00:00,1279,1185
Times_Sq_42St,2021-01-02 18:00:00,1729,1674
Times_Sq_42St,2021-01-02 19:00:00,1433,1442
Times_Sq_42St,2021-01-02 20:00:00,898,805
Times_Sq_42St,2021-01-02 21:00:00,513,453
Times_Sq_42St,2021-01-02 22:00:00,284,271
Times_Sq_42St,2021-01-02 23:00:00,214,207
Times_Sq_42St,2021-01-03 00:00:00,188,166
Times_Sq_42St,2021-01-03 01:00:00,193,189
Times_Sq_42St,2021-01-03 02:00:00,203,202
Times_Sq_42St,2021-01-03 03:00:00,152,155
Times_Sq_42St,2021-01-03 04:00:00,213,226
Times_Sq_42St,2021-01-03 05:00:00,367,312
Times_Sq_42St,2021-01-03 06:00:00,687,632
Times_Sq_42St,2021-01-03 07:00:00,1216,1119
Times_Sq_42St,2021-01-03 08:00:00,1845,1682
Times_Sq_42St,2021-01-03 09:00:00,1112,965
Times_Sq_42St,2021-01-03 10:00:00,1114,892
Times_Sq_42St,2021-01-03 11:00:00,474,439
Times_Sq_42St,2021-01-03 12:00:00,459,394
Times_Sq_42St,2021-01-03 13:00:00,468,433
Times_Sq_42St,2021-01-03 14:00:00,544,465
Times_Sq_42St,2021-01-03 15:00:00,753,626
Times_Sq_42St,2021-01-03 16:00:00,1221,1146
Times_Sq_42St,2021-01-03 17:00:00,1343,1251
Times_Sq_42St,2021-01-03 18:00:00,1568,1515
Times_Sq_42St,2021-01-03 19:00:00,1582,1732
Times_Sq_42St,2021-01-03 20:00:00,849,799
Times_Sq_42St,2021-01-03 21:00:00,376,360
Times_Sq_42St,2021-01-03 22:00:00,232,193
Times_Sq_42St,2021-01-03 23:00:00,170,138
Times_Sq_42St,2021-01-04 00:00:00,362,378
Times_Sq_42St,2021-01-04 01:00:00,346,292
Times_Sq_42St,2021-01-04 02:00:00,373,312
Times_Sq_42St,2021-01-04 03:00:00,327,299
Times_Sq_42St,2021-01-04 04:00:00,416,379
Times_Sq_42St,2021-01-04 05:00:00,779,660
Times_Sq_42St,2021-01-04 06:00:00,1315,1177
Times_Sq_42St,2021-01-04 07:00:00,2451,2495
Times_Sq_42St,2021-01-04 08:00:00,2521,2156
Times_Sq_42St,2021-01-04 09:00:00,2186,1767
Times_Sq_42St,2021-01-04 10:00:00,1692,1684
Times_Sq_42St,2021-01-04 11:00:00,940,901
Times_Sq_42St,2021-01-04 12:00:00,937,815
Times_Sq_42St,2021-01-04 13:00:00,779,618
Times_Sq_42St,2021-01-04 14:00:00,917,789
Times_Sq_42St,2021-01-04 15:00:00,1330,1217
Times_Sq_42St,2021-01-04 16:00:00,2127,2155
Times_Sq_42St,2021-01-04 17:00:00,2811,2353
Times_Sq_42St,2021-01-04 18:00:00,3012,2750
Times_Sq_42St,2021-01-04 19:00:00,2419,2356
Times_Sq_42St,2021-01-04 20:00:00,1571,1146
Times_Sq_42St,2021-01-04 21:00:00,637,638
Times_Sq_42St,2021-01-04 22:00:00,400,330
Times_Sq_42St,2021-01-04 23:00:00,291,275
Times_Sq_42St,2021-01-05 00:00:00,292,274
Times_Sq_42St,2021-01-05 01:00:00,358,360
Times_Sq_42St,2021-01-05 02:00:00,297,286
Times_Sq_42St,2021-01-05 03:00:00,330,240
Times_Sq_42St,2021-01-05 04:00:00,482,413
Times_Sq_42St,2021-01-05 05:00:00,682,634
Times_Sq_42St,2021-01-05 06:00:00,1518,1372
Times_Sq_42St,2021-01-05 07:00:00,2005,1921
Times_Sq_42St,2021-01-05 08:00:00,2702,2656
Times_Sq_42St,2021-01-05 09:00:00,2000,1937
Times_Sq_42St,2021-01-05 10:00:00,1705,1539
Times_Sq_42St,2021-01-05 11:00:00,1264,976
Times_Sq_42St,2021-01-05 12:00:00,666,588
Times_Sq_42St,2021-01-05 13:00:00,886,844
Times_Sq_42St,2021-01-05 14:00:00,948,789
Times_Sq_42St,2021-01-05 15:00:00,1144,1110
Times_Sq_42St,2021-01-05 16:00:00,1599,1587
Times_Sq_42St,2021-01-05 17:00:00,2601,2419
Times_Sq_42St,2021-01-05 18:00:00,2831,1910
Times_Sq_42St,2021-01-05 19:00:00,2659,2174
Times_Sq_42St,2021-01-05 20:00:00,1596,1709
Times_Sq_42St,2021-01-05 21:00:00,1022,895
Times_Sq_42St,2021-01-05 22:00:00,486,369
Times_Sq_42St,2021-01-05 23:00:00,306,311
Times_Sq_42St,2021-01-06 00:00:00,348,320
Times_Sq_42St,2021-01-06 01:00:00,350,352
Times_Sq_42St,2021-01-06 02:00:00,406,382
Times_Sq_42St,2021-01-06 03:00:00,390,373
Times_Sq_42St,2021-01-06 04:00:00,429,407
Times_Sq_42St,2021-01-06 05:00:00,866,845
Times_Sq_42St,2021-01-06 06:00:00,1149,1266
Times_Sq_42St,2021-01-06 07:00:00,2103,2098
Times_Sq_42St,2021-01-06 08:00:00,2425,1924
Times_Sq_42St,2021-01-06 09:00:00,2184,2087
Times_Sq_42St,2021-01-06 10:00:00,1446,1462
Times_Sq_42St,2021-01-06 11:00:00,1233,1252
Times_Sq_42St,2021-01-06 12:00:00,852,754
Times_Sq_42St,2021-01-06 13:00:00,664,672
Times_Sq_42St,2021-01-06 14:00:00,788,783
Times_Sq_42St,2021-01-06 15:00:00,1305,1469
Times_Sq_42St,2021-01-06 16:00:00,2243,1928
Times_Sq_42St,2021-01-06 17:00:00,3300,2902
Times_Sq_42St,2021-01-06 18:00:00,4312,3861
Times_Sq_42St,2021-01-06 19:00:00,2728,2402
Times_Sq_42St,2021-01-06 20:00:00,1373,1165
Times_Sq_42St,2021-01-06 21:00:00,586,409
Times_Sq_42St,2021-01-06 22:00:00,523,462
Times_Sq_42St,2021-01-06 23:00:00,317,301
Times_Sq_42St,2021-01-07 00:00:00,320,281
Times_Sq_42St,2021-01-07 01:00:00,311,334
Times_Sq_42St,2021-01-07 02:00:00,334,307
Times_Sq_42St,2021-01-07 03:00:00,402,411
Times_Sq_42St,2021-01-07 04:00:00,418,393
Times_Sq_42St,2021-01-07 05:00:00,704,694
Times_Sq_42St,2021-01-07 06:00:00,1180,1111
Times_Sq_42St,2021-01-07 07:00:00,1770,1822
Times_Sq_42St,2021-01-07 08:00:00,2600,2403
Times_Sq_42St,2021-01-07 09:00:00,2295,2202
Times_Sq_42St,2021-01-07 10:00:00,2239,2125
Times_Sq_42St,2021-01-07 11:00:00,1155,1035
Times_Sq_42St,2021-01-07 12:00:00,1002,954
Times_Sq_42St,2021-01-07 13:00:00,779,855
Times_Sq_42St,2021-01-07 14:00:00,767,689
Times_Sq_42St,2021-01-07 15:00:00,1082,1031
Times_Sq_42St,2021-01-07 16:00:00,1806,1843
Times_Sq_42St,2021-01-07 17:00:00,3352,3389
Times_Sq_42St,2021-01-07 18:00:00,2714,2499
Times_Sq_42St,2021-01-07 19:00:00,2885,2104
Times_Sq_42St,2021-01-07 20:00:00,1394,1340
Times_Sq_42St,2021-01-07 21:00:00,946,702
Times_Sq_42St,2021-01-07 22:00:00,532,552
Times_Sq_42St,2021-01-07 23:00:00,350,326
Times_Sq_42St,2021-01-08 00:00:00,339,338
Times_Sq_42St,2021-01-08 01:00:00,309,261
Times_Sq_42St,2021-01-08 02:00:00,363,288
Times_Sq_42St,2021-01-08 03:00:00,328,308
Times_Sq_42St,2021-01-08 04:00:00,339,310
Times_Sq_42St,2021-01-08 05:00:00,592,521
Times_Sq_42St,2021-01-08 06:00:00,1415,1311
Times_Sq_42St,2021-01-08 07:00:00,2828,3227
Times_Sq_42St,2021-01-08 08:00:00,2856,2818
Times_Sq_42St,2021-01-08 09:00:00,2278,2287
Times_Sq_42St,2021-01-08 10:00:00,1869,1845
Times_Sq_42St,2021-01-08 11:00:00,1343,1394
Times_Sq_42St,2021-01-08 12:00:00,909,822
Times_Sq_42St,2021-01-08 13:00:00,790,596
Times_Sq_42St,2021-01-08 14:00:00,1064,962
Times_Sq_42St,2021-01-08 15:00:00,1328,1307
Times_Sq_42St,2021-01-08 16:00:00,2446,2060
Times_Sq_42St,2021-01-08 17:00:00,2652,2402
Times_Sq_42St,2021-01-08 18:00:00,2544,2199
Times_Sq_42St,2021-01-08 19:00:00,2090,2173
Times_Sq_42St,2021-01-08 20:00:00,1967,1927
Times_Sq_42St,2021-01-08 21:00:00,1040,1011
Times_Sq_42St,2021-01-08 22:00:00,492,477
Times_Sq_42St,2021-01-08 23:00:00,339,310
