transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-05-05 00:00:00,subway,31,25 St (R),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2.0,0.0,40.660397,-73.99809
2025-05-05 00:00:00,subway,316,50 St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,6.0,0.0,40.761726,-73.98385
2025-05-05 00:00:00,subway,339,"Bergen St (2,3)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,3.0,0.0,40.68083,-73.9751
2025-05-05 00:00:00,subway,363,Westchester Sq-E Tremont Av (6),Bronx,metrocard,Metrocard - Other,2.0,0.0,40.839893,-73.84295
2025-05-05 00:00:00,subway,38,86 St (R),Brooklyn,omny,OMNY - Seniors & Disability,1.0,0.0,40.62269,-74.0284
2025-05-05 00:00:00,subway,381,Kingsbridge Rd (4),Bronx,omny,OMNY - Students,2.0,0.0,40.86776,-73.89717
2025-05-05 00:00:00,subway,476,86 St (Q),Manhattan,metrocard,Metrocard - Full Fare,5.0,0.0,40.77789,-73.95179
2025-05-05 00:00:00,subway,601,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,omny,OMNY - Seniors & Disability,2.0,0.0,40.737797,-73.997734
2025-05-05 00:00:00,subway,628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,metrocard,Metrocard - Full Fare,16.0,0.0,40.71009,-74.007835
2025-05-05 00:00:00,subway,74,18 Av (N),Brooklyn,omny,OMNY - Students,1.0,0.0,40.62067,-73.99042
2025-05-05 00:00:00,subway,100,"Hewes St (M,J)",Brooklyn,omny,OMNY - Students,2.0,0.0,40.70687,-73.95343
2025-05-05 00:00:00,subway,122,Graham Av (L),Brooklyn,omny,OMNY - Seniors & Disability,2.0,0.0,40.714565,-73.94405
2025-05-05 00:00:00,subway,179,"Nostrand Av (A,C)",Brooklyn,omny,OMNY - Students,6.0,0.0,40.68044,-73.950424
2025-05-05 00:00:00,subway,20,"City Hall (R,W)",Manhattan,omny,OMNY - Other,1.0,0.0,40.713284,-74.00698
2025-05-05 00:00:00,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,0.0,40.750374,-73.99106
2025-05-05 00:00:00,subway,326,Franklin St (1),Manhattan,omny,OMNY - Full Fare,12.0,0.0,40.71932,-74.00689
2025-05-05 00:00:00,subway,334,"Clark St (2,3)",Brooklyn,metrocard,Metrocard - Full Fare,2.0,0.0,40.697468,-73.99309
2025-05-05 00:00:00,subway,373,E 149 St (6),Bronx,metrocard,Metrocard - Full Fare,1.0,1.0,40.81212,-73.9041
2025-05-05 00:00:00,subway,39,Bay Ridge-95 St (R),Brooklyn,omny,OMNY - Students,1.0,0.0,40.616623,-74.030876
