transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries
2025-05-05 00:00:00,1,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203,51.0
2025-05-05 00:00:00,2,"Astoria Blvd (N,W)",Queens,40.77026,-73.91785,22.0
2025-05-05 00:00:00,3,"30 Av (N,W)",Queens,40.76678,-73.92148,28.0
2025-05-05 00:00:00,4,"Broadway (N,W)",Queens,40.76182,-73.92551,28.0
2025-05-05 00:00:00,5,"36 Av (N,W)",Queens,40.756805,-73.92957,16.0
2025-05-05 00:00:00,6,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755,16.0
2025-05-05 00:00:00,8,"5 Av/59 St (N,R,W)",Manhattan,40.764812,-73.97335,53.0
2025-05-05 00:00:00,9,"57 St-7 Av (N,Q,R,W)",Manhattan,40.764664,-73.98066,179.0
2025-05-05 00:00:00,10,"49 St (N,R,W)",Manhattan,40.7599,-73.98414,310.0
2025-05-05 00:00:00,13,"28 St (R,W)",Manhattan,40.745495,-73.98869,81.0
2025-05-05 00:00:00,14,"23 St (R,W)",Manhattan,40.741302,-73.98934,68.0
2025-05-05 00:00:00,16,"8 St-NYU (R,W)",Manhattan,40.730328,-73.99263,111.0
2025-05-05 00:00:00,17,"Prince St (R,W)",Manhattan,40.72433,-73.9977,69.0
2025-05-05 00:00:00,20,"City Hall (R,W)",Manhattan,40.713284,-74.00698,9.0
2025-05-05 00:00:00,22,"Rector St (R,W)",Manhattan,40.70722,-74.01334,8.0
2025-05-05 00:00:00,26,"DeKalb Av (B,Q,R)",Brooklyn,40.690636,-73.98183,126.0
2025-05-05 00:00:00,28,Union St (R),Brooklyn,40.677315,-73.98311,27.0
2025-05-05 00:00:00,30,Prospect Av (R),Brooklyn,40.665413,-73.992874,13.0
2025-05-05 00:00:00,31,25 St (R),Brooklyn,40.660397,-73.99809,15.0
2025-05-05 00:00:00,32,"36 St (D,N,R)",Brooklyn,40.655144,-74.00355,47.0
2025-05-05 00:00:00,33,45 St (R),Brooklyn,40.648937,-74.01001,14.0
2025-05-05 00:00:00,34,53 St (R),Brooklyn,40.64507,-74.01403,18.0
2025-05-05 00:00:00,35,"59 St (N,R)",Brooklyn,40.64136,-74.01788,19.0
2025-05-05 00:00:00,36,Bay Ridge Av (R),Brooklyn,40.634968,-74.02338,7.0
2025-05-05 00:00:00,37,77 St (R),Brooklyn,40.62974,-74.02551,4.0
2025-05-05 00:00:00,38,86 St (R),Brooklyn,40.62269,-74.0284,22.0
2025-05-05 00:00:00,39,Bay Ridge-95 St (R),Brooklyn,40.616623,-74.030876,12.0
2025-05-05 00:00:00,41,"7 Av (B,Q)",Brooklyn,40.67705,-73.97237,26.0
2025-05-05 00:00:00,42,"Prospect Park (B,Q,S)",Brooklyn,40.661613,-73.96225,14.0
2025-05-05 00:00:00,43,Parkside Av (Q),Brooklyn,40.655293,-73.961494,10.0
