transit_timestamp,station_complex_id,scheduled_trains,station_name,borough
2025-05-05 00:00:00,1,3,Astoria-Ditmars Blvd,Q
2025-05-05 00:00:00,2,3,Astoria Blvd,Q
2025-05-05 00:00:00,3,3,30 Av,Q
2025-05-05 00:00:00,4,3,Broadway,Q
2025-05-05 00:00:00,5,3,36 Av,Q
2025-05-05 00:00:00,6,3,39 Av-Dutch Kills,Q
2025-05-05 00:00:00,8,2,5 Av/59 St,M
2025-05-05 00:00:00,9,5,57 St-7 Av,M
2025-05-05 00:00:00,10,5,49 St,M
2025-05-05 00:00:00,13,5,28 St,M
2025-05-05 00:00:00,14,4,23 St,M
2025-05-05 00:00:00,16,4,8 St-NYU,M
2025-05-05 00:00:00,17,4,Prince St,M
2025-05-05 00:00:00,20,1,City Hall,M
2025-05-05 00:00:00,22,1,Rector St,M
2025-05-05 00:00:00,26,5,DeKalb Av,B
2025-05-05 00:00:00,32,2,36 St,B
2025-05-05 00:00:00,33,1,45 St,B
2025-05-05 00:00:00,34,1,53 St,B
2025-05-05 00:00:00,35,1,59 St,B
2025-05-05 00:00:00,36,1,Bay Ridge Av,B
2025-05-05 00:00:00,37,1,77 St,B
2025-05-05 00:00:00,38,1,86 St,B
2025-05-05 00:00:00,41,1,7 Av,B
2025-05-05 00:00:00,42,4,Prospect Park,B
2025-05-05 00:00:00,43,1,Parkside Av,B
2025-05-05 00:00:00,44,1,Church Av,B
2025-05-05 00:00:00,45,1,Beverley Rd,B
2025-05-05 00:00:00,46,1,Cortelyou Rd,B
2025-05-05 00:00:00,47,1,Newkirk Plaza,B
2025-05-05 00:00:00,48,1,Avenue H,B
2025-05-05 00:00:00,80,3,121 St,Q
2025-05-05 00:00:00,81,3,111 St,Q
2025-05-05 00:00:00,82,3,104 St,Q
2025-05-05 00:00:00,83,3,Woodhaven Blvd,Q
2025-05-05 00:00:00,84,2,85 St-Forest Pkwy,Q
2025-05-05 00:00:00,85,2,75 St-Elderts Ln,Q
2025-05-05 00:00:00,86,2,Cypress Hills,B
2025-05-05 00:00:00,87,2,Crescent St,B
2025-05-05 00:00:00,88,2,Norwood Av,B
2025-05-05 00:00:00,89,2,Cleveland St,B
2025-05-05 00:00:00,90,2,Van Siclen Av,B
2025-05-05 00:00:00,91,2,Alabama Av,B
2025-05-05 00:00:00,93,2,Chauncey St,B
2025-05-05 00:00:00,94,2,Halsey St,B
2025-05-05 00:00:00,95,2,Gates Av,B
2025-05-05 00:00:00,96,1,Kosciuszko St,B
2025-05-05 00:00:00,97,5,Myrtle Av,B
2025-05-05 00:00:00,98,1,Flushing Av,B
2025-05-05 00:00:00,99,1,Lorimer St,B
2025-05-05 00:00:00,108,2,Middle Village-Metropolitan Av,Q
2025-05-05 00:00:00,109,6,Fresh Pond Rd,Q
2025-05-05 00:00:00,110,6,Forest Av,Q
2025-05-05 00:00:00,111,6,Seneca Av,Q
2025-05-05 00:00:00,113,6,Knickerbocker Av,B
2025-05-05 00:00:00,114,6,Central Av,B
2025-05-05 00:00:00,118,3,3 Av,M
2025-05-05 00:00:00,119,3,1 Av,M
2025-05-05 00:00:00,120,3,Bedford Av,B
2025-05-05 00:00:00,122,3,Graham Av,B
2025-05-05 00:00:00,123,3,Grand St,B
2025-05-05 00:00:00,124,3,Montrose Av,B
2025-05-05 00:00:00,125,3,Morgan Av,B
2025-05-05 00:00:00,126,3,Jefferson St,B
2025-05-05 00:00:00,127,3,DeKalb Av,B
2025-05-05 00:00:00,129,4,Halsey St,B
2025-05-05 00:00:00,130,4,Wilson Av,B
2025-05-05 00:00:00,131,4,Bushwick Av-Aberdeen St,B
2025-05-05 00:00:00,133,4,Atlantic Av,B
2025-05-05 00:00:00,134,4,Sutter Av,B
2025-05-05 00:00:00,135,4,Livonia Av,B
2025-05-05 00:00:00,136,4,New Lots Av,B
2025-05-05 00:00:00,137,4,East 105 St,B
2025-05-05 00:00:00,138,4,Canarsie-Rockaway Pkwy,B
2025-05-05 00:00:00,141,6,Park Pl,B
2025-05-05 00:00:00,143,3,Inwood-207 St,M
2025-05-05 00:00:00,144,3,Dyckman St,M
2025-05-05 00:00:00,145,3,190 St,M
2025-05-05 00:00:00,146,3,181 St,M
2025-05-05 00:00:00,147,3,175 St,M
2025-05-05 00:00:00,149,3,163 St-Amsterdam Av,M
2025-05-05 00:00:00,150,2,155 St,M
2025-05-05 00:00:00,152,2,135 St,M
2025-05-05 00:00:00,153,4,125 St,M
2025-05-05 00:00:00,154,2,116 St,M
2025-05-05 00:00:00,155,2,Cathedral Pkwy (110 St),M
2025-05-05 00:00:00,156,2,103 St,M
2025-05-05 00:00:00,157,2,96 St,M
2025-05-05 00:00:00,158,2,86 St,M
2025-05-05 00:00:00,159,2,81 St-Museum of Natural History,M
2025-05-05 00:00:00,160,2,72 St,M
2025-05-05 00:00:00,162,1,50 St,M
2025-05-05 00:00:00,164,1,34 St-Penn Station,M
2025-05-05 00:00:00,165,1,23 St,M
2025-05-05 00:00:00,168,1,Spring St,M
2025-05-05 00:00:00,169,1,Canal St,M
2025-05-05 00:00:00,173,1,High St,B
2025-05-05 00:00:00,175,3,Hoyt-Schermerhorn Sts,B
2025-05-05 00:00:00,189,1,Grant Av,B
2025-05-05 00:00:00,190,1,80 St,Q
2025-05-05 00:00:00,191,1,88 St,Q
2025-05-05 00:00:00,192,1,Rockaway Blvd,Q
2025-05-05 00:00:00,193,2,104 St,Q
2025-05-05 00:00:00,194,1,111 St,Q
2025-05-05 00:00:00,195,1,Ozone Park-Lefferts Blvd,Q
2025-05-05 00:00:00,200,3,Beach 90 St,Q
2025-05-05 00:00:00,201,3,Beach 98 St,Q
