complex_id,station_id,gtfs_stop_id,stop_name,constituent_station_name,borough,daytime_routes
617,27,R31,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr,B,2 3 4 5 B D N Q R
28,28,R32,Union St,Union St,B,R
608,29,R33,4 Av-9 St,4 Av-9 St,B,F G R
30,30,R34,Prospect Av,Prospect Av,B,R
31,31,R35,25 St,25 St,B,R
32,32,R36,36 St,36 St,B,D N R
33,33,R39,45 St,45 St,B,R
34,34,R40,53 St,53 St,B,R
35,35,R41,59 St,59 St,B,N R
36,36,R42,Bay Ridge Av,Bay Ridge Av,B,R
37,37,R43,77 St,77 St,B,R
38,38,R44,86 St,86 St,B,R
39,39,R45,Bay Ridge-95 St,Bay Ridge-95 St,B,R
221,221,B04,21 St-Queensbridge,21 St-Queensbridge,Q,M
222,222,B06,Roosevelt Island,Roosevelt Island,M,M
223,223,B08,Lexington Av/63 St,Lexington Av/63 St,M,M Q
224,224,B10,57 St,57 St,M,M
225,225,D15,47-50 Sts-Rockefeller Ctr,47-50 Sts-Rockefeller Ctr,M,B D F M
609,226,D16,42 St-Bryant Pk/5 Av,42 St-Bryant Pk,M,7 B D F M
607,227,D17,34 St-Herald Sq,34 St-Herald Sq,M,B D F M N Q R W
228,228,D18,23 St,23 St,M,F M
601,229,D19,14 St/6 Av,14 St,M,1 2 3 L F M
619,230,D21,Broadway-Lafayette St/Bleecker St,Broadway-Lafayette St,M,6 B D F M
231,231,D22,Grand St,Grand St,M,B D
232,232,F14,2 Av,2 Av,M,F
625,233,F15,Delancey St-Essex St,Delancey St-Essex St,M,F M J Z
234,234,F16,East Broadway,East Broadway,M,F
235,235,F18,York St,York St,B,F
236,236,F20,Bergen St,Bergen St,B,F G
237,237,F21,Carroll St,Carroll St,B,F G
238,238,F22,Smith-9 Sts,Smith-9 Sts,B,F G
608,239,F23,4 Av-9 St,4 Av-9 St,B,F G R
240,240,F24,7 Av,7 Av,B,F G
241,241,F25,15 St-Prospect Park,15 St-Prospect Park,B,F G
242,242,F26,Fort Hamilton Pkwy,Fort Hamilton Pkwy,B,F G
243,243,F27,Church Av,Church Av,B,F G
244,244,F29,Ditmas Av,Ditmas Av,B,F
245,245,F30,18 Av,18 Av,B,F
246,246,F31,Avenue I,Avenue I,B,F
247,247,F32,Bay Pkwy,Bay Pkwy,B,F
248,248,F33,Avenue N,Avenue N,B,F
249,249,F34,Avenue P,Avenue P,B,F
250,250,F35,Kings Hwy,Kings Hwy,B,F
251,251,F36,Avenue U,Avenue U,B,F
252,252,F38,Avenue X,Avenue X,B,F
253,253,F39,Neptune Av,Neptune Av,B,F
143,143,A02,Inwood-207 St,Inwood-207 St,M,A
144,144,A03,Dyckman St,Dyckman St,M,A
145,145,A05,190 St,190 St,M,A
146,146,A06,181 St,181 St,M,A
147,147,A07,175 St,175 St,M,A
605,148,A09,168 St-Washington Hts,168 St,M,1 A C
149,149,A10,163 St-Amsterdam Av,163 St-Amsterdam Av,M,C
150,150,A11,155 St,155 St,M,C
152,152,A14,135 St,135 St,M,C B
153,153,A15,125 St,125 St,M,A C B D
154,154,A16,116 St,116 St,M,C B
155,155,A17,Cathedral Pkwy (110 St),Cathedral Pkwy (110 St),M,C B
156,156,A18,103 St,103 St,M,C B
157,157,A19,96 St,96 St,M,C B
158,158,A20,86 St,86 St,M,C B
159,159,A21,81 St-Museum of Natural History,81 St-Museum of Natural History,M,C B
160,160,A22,72 St,72 St,M,C B
614,161,A24,59 St-Columbus Circle,59 St-Columbus Circle,M,1 A C B D
162,162,A25,50 St,50 St,M,C E
611,163,A27,Times Sq-42 St/Port Authority Bus Terminal,42 St-Port Authority Bus Terminal,M,1 2 3 7 A C E N Q R W S
164,164,A28,34 St-Penn Station,34 St-Penn Station,M,A C E
165,165,A30,23 St,23 St,M,C E
618,166,A31,14 St/8 Av,14 St,M,A C E L
168,168,A33,Spring St,Spring St,M,C E
169,169,A34,Canal St,Canal St,M,A C E
624,170,A36,Chambers St/WTC/Park Place/Cortlandt St,Chambers St,M,2 3 A C E R W
624,171,E01,Chambers St/WTC/Park Place/Cortlandt St,World Trade Center,M,2 3 A C E R W
173,173,A40,High St,High St,B,A C
636,174,A41,Jay St-MetroTech,Jay St-MetroTech,B,A C F R
175,175,A42,Hoyt-Schermerhorn Sts,Hoyt-Schermerhorn Sts,B,A C G
176,176,A43,Lafayette Av,Lafayette Av,B,C
177,177,A44,Clinton-Washington Avs,Clinton-Washington Avs,B,C
627,178,A45,Franklin Av,Franklin Av,B,C S
179,179,A46,Nostrand Av,Nostrand Av,B,A C
180,180,A47,Kingston-Throop Avs,Kingston-Throop Avs,B,C
181,181,A48,Utica Av,Utica Av,B,A C
182,182,A49,Ralph Av,Ralph Av,B,C
183,183,A50,Rockaway Av,Rockaway Av,B,C
621,184,A51,Broadway Junction,Broadway Junction,B,A C J Z L
185,185,A52,Liberty Av,Liberty Av,B,C
186,186,A53,Van Siclen Av,Van Siclen Av,B,C
187,187,A54,Shepherd Av,Shepherd Av,B,C
188,188,A55,Euclid Av,Euclid Av,B,A C
167,167,A32; D20,W 4 St-Wash Sq,W 4 St-Wash Sq,M,A C E B D F M
151,151,A12; D13,145 St,145 St,M,A C B D
1,1,R01,Astoria-Ditmars Blvd,Astoria-Ditmars Blvd,Q,N W
2,2,R03,Astoria Blvd,Astoria Blvd,Q,N W
3,3,R04,30 Av,30 Av,Q,N W
4,4,R05,Broadway,Broadway,Q,N W
5,5,R06,36 Av,36 Av,Q,N W
6,6,R08,39 Av-Dutch Kills,39 Av-Dutch Kills,Q,N W
613,7,R11,Lexington Av/59 St,Lexington Av/59 St,M,4 5 6 N R W
8,8,R13,5 Av/59 St,5 Av/59 St,M,N R W
623,18,R23,Canal St,Canal St,M,6 J Z N Q R W
20,20,R24,City Hall,City Hall,M,R W
624,21,R25,Chambers St/WTC/Park Place/Cortlandt St,Cortlandt St,M,2 3 A C E R W
22,22,R26,Rector St,Rector St,M,R W
635,23,R27,Whitehall St-South Ferry,Whitehall St-South Ferry,M,1 R W
620,24,R28,Borough Hall/Court St,Court St,B,2 3 4 5 R
636,25,R29,Jay St-MetroTech,Jay St-MetroTech,B,A C F R
293,293,101,Van Cortlandt Park-242 St,Van Cortlandt Park-242 St,Bx,1
294,294,103,238 St,238 St,Bx,1
295,295,104,231 St,231 St,Bx,1
296,296,106,Marble Hill-225 St,Marble Hill-225 St,M,1
297,297,107,215 St,215 St,M,1
298,298,108,207 St,207 St,M,1
299,299,109,Dyckman St,Dyckman St,M,1
300,300,110,191 St,191 St,M,1
301,301,111,181 St,181 St,M,1
605,302,112,168 St-Washington Hts,168 St-Washington Hts,M,1 A C
303,303,113,157 St,157 St,M,1
304,304,114,145 St,145 St,M,1
305,305,115,137 St-City College,137 St-City College,M,1
306,306,116,125 St,125 St,M,1
307,307,117,116 St-Columbia University,116 St-Columbia University,M,1
308,308,118,Cathedral Pkwy (110 St),Cathedral Pkwy (110 St),M,1
309,309,119,103 St,103 St,M,1
310,310,120,96 St,96 St,M,1 2 3
311,311,121,86 St,86 St,M,1
312,312,122,79 St,79 St,M,1
313,313,123,72 St,72 St,M,1 2 3
314,314,124,66 St-Lincoln Center,66 St-Lincoln Center,M,1
614,315,125,59 St-Columbus Circle,59 St-Columbus Circle,M,1 A C B D
316,316,126,50 St,50 St,M,1
611,317,127,Times Sq-42 St/Port Authority Bus Terminal,Times Sq-42 St,M,1 2 3 7 A C E N Q R W S
318,318,128,34 St-Penn Station,34 St-Penn Station,M,1 2 3
319,319,129,28 St,28 St,M,1
320,320,130,23 St,23 St,M,1
321,321,131,18 St,18 St,M,1
601,322,132,14 St/6 Av,14 St,M,1 2 3 L F M
323,323,133,Christopher St-Stonewall,Christopher St-Stonewall,M,1
324,324,134,Houston St,Houston St,M,1
325,325,135,Canal St,Canal St,M,1
326,326,136,Franklin St,Franklin St,M,1
327,327,137,Chambers St,Chambers St,M,1 2 3
328,328,138,WTC Cortlandt,WTC Cortlandt,M,1
329,329,139,Rector St,Rector St,M,1
635,330,142,Whitehall St-South Ferry,South Ferry,M,1 R W
9,9,R14,57 St-7 Av,57 St-7 Av,M,N Q R W
10,10,R15,49 St,49 St,M,N R W
611,11,R16,Times Sq-42 St/Port Authority Bus Terminal,Times Sq-42 St,M,1 2 3 7 A C E N Q R W S
607,12,R20,14 St-Union Sq,14 St-Union Sq,M,4 5 6 L N Q R W
607,12,R17,34 St-Herald Sq,34 St-Herald Sq,M,B D F M N Q R W
602,12,R17,34 St-Herald Sq,34 St-Herald Sq,M,B D F M N Q R W
13,13,R18,28 St,28 St,M,R W
14,14,R19,23 St,23 St,M,R W
16,16,R21,8 St-NYU,8 St-NYU,M,R W
17,17,R22,Prince St,Prince St,M,R W
26,26,R30,DeKalb Av,DeKalb Av,B,B Q R
617,40,D24,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr,B,2 3 4 5 B D N Q R
41,41,D25,7 Av,7 Av,B,B Q
42,42,D26,Prospect Park,Prospect Park,B,B Q S
43,43,D27,Parkside Av,Parkside Av,B,Q
44,44,D28,Church Av,Church Av,B,B Q
45,45,D29,Beverley Rd,Beverley Rd,B,Q
46,46,D30,Cortelyou Rd,Cortelyou Rd,B,Q
47,47,D31,Newkirk Plaza,Newkirk Plaza,B,B Q
48,48,D32,Avenue H,Avenue H,B,Q
49,49,D33,Avenue J,Avenue J,B,Q
50,50,D34,Avenue M,Avenue M,B,Q
51,51,D35,Kings Hwy,Kings Hwy,B,B Q
52,52,D37,Avenue U,Avenue U,B,Q
53,53,D38,Neck Rd,Neck Rd,B,Q
54,54,D39,Sheepshead Bay,Sheepshead Bay,B,B Q
55,55,D40,Brighton Beach,Brighton Beach,B,B Q
56,56,D41,Ocean Pkwy,Ocean Pkwy,B,Q
57,57,D42,W 8 St-NY Aquarium,W 8 St-NY Aquarium,B,F Q
618,115,L01,14 St/8 Av,8 Av,M,A C E L
601,116,L02,14 St/6 Av,6 Av,M,1 2 3 L F M
602,117,R20,14 St-Union Sq,14 St-Union Sq,M,4 5 6 L N Q R W
118,118,L05,3 Av,3 Av,M,L
119,119,L06,1 Av,1 Av,M,L
120,120,L08,Bedford Av,Bedford Av,B,L
629,121,L10,Metropolitan Av/Lorimer St,Lorimer St,B,G L
122,122,L11,Graham Av,Graham Av,B,L
123,123,L12,Grand St,Grand St,B,L
124,124,L13,Montrose Av,Montrose Av,B,L
125,125,L14,Morgan Av,Morgan Av,B,L
126,126,L15,Jefferson St,Jefferson St,B,L
127,127,L16,DeKalb Av,DeKalb Av,B,L
630,128,L17,Myrtle-Wyckoff Avs,Myrtle-Wyckoff Avs,Q,M L
129,129,L19,Halsey St,Halsey St,B,L
130,130,L20,Wilson Av,Wilson Av,B,L
131,131,L21,Bushwick Av-Aberdeen St,Bushwick Av-Aberdeen St,B,L
133,133,L24,Atlantic Av,Atlantic Av,B,L
134,134,L25,Sutter Av,Sutter Av,B,L
135,135,L26,Livonia Av,Livonia Av,B,L
136,136,L27,New Lots Av,New Lots Av,B,L
137,137,L28,East 105 St,East 105 St,B,L
138,138,L29,Canarsie-Rockaway Pkwy,Canarsie-Rockaway Pkwy,B,L
624,331,228,Chambers St/WTC/Park Place/Cortlandt St,Park Place,M,2 3 A C E R W
628,332,229,Fulton St,Fulton St,M,2 3 4 5 A C J Z
333,333,230,Wall St,Wall St,M,2 3
334,334,231,Clark St,Clark St,B,2 3
620,335,232,Borough Hall/Court St,Borough Hall,B,2 3 4 5 R
210,210,D01,Norwood-205 St,Norwood-205 St,Bx,D
211,211,D03,Bedford Park Blvd,Bedford Park Blvd,Bx,B D
212,212,D04,Kingsbridge Rd,Kingsbridge Rd,Bx,B D
213,213,D05,Fordham Rd,Fordham Rd,Bx,B D
214,214,D06,182-183 Sts,182-183 Sts,Bx,B D
215,215,D07,Tremont Av,Tremont Av,Bx,B D
216,216,D08,174-175 Sts,174-175 Sts,Bx,B D
217,217,D09,170 St,170 St,Bx,B D
218,218,D10,167 St,167 St,Bx,B D
604,219,D11,161 St-Yankee Stadium,161 St-Yankee Stadium,Bx,4 B D
220,220,D12,155 St,155 St,M,B D
283,28,G26,Greenpoint Av,Greenpoint Av,B,G
606,281,G22,Court Sq-23 St,Court Sq,Q,7 E M G
282,282,G24,21 St,21 St,Q,G
284,284,G28,Nassau Av,Nassau Av,B,G
629,285,G29,Metropolitan Av/Lorimer St,Metropolitan Av,B,G L
286,286,G30,Broadway,Broadway,B,G
287,287,G31,Flushing Av,Flushing Av,B,G
288,288,G32,Myrtle-Willoughby Avs,Myrtle-Willoughby Avs,B,G
289,289,G33,Bedford-Nostrand Avs,Bedford-Nostrand Avs,B,G
290,290,G34,Classon Av,Classon Av,B,G
291,291,G35,Clinton-Washington Avs,Clinton-Washington Avs,B,G
292,292,G36,Fulton St,Fulton St,B,G
442,442,501,Eastchester-Dyre Av,Eastchester-Dyre Av,Bx,5
443,443,502,Baychester Av,Baychester Av,Bx,5
444,444,503,Gun Hill Rd,Gun Hill Rd,Bx,5
445,445,504,Pelham Pkwy,Pelham Pkwy,Bx,5
446,446,505,Morris Park,Morris Park,Bx,5
336,336,233,Hoyt St,Hoyt St,B,2 3
337,337,234,Nevins St,Nevins St,B,2 3 4 5
617,338,235,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr,B,2 3 4 5 B D N Q R
339,339,236,Bergen St,Bergen St,B,2 3
340,340,237,Grand Army Plaza,Grand Army Plaza,B,2 3
341,341,238,Eastern Pkwy-Brooklyn Museum,Eastern Pkwy-Brooklyn Museum,B,2 3
626,342,239,Franklin Av-Medgar Evers College/Botanic Garden,Franklin Av-Medgar Evers College,B,2 3 4 5 S
343,343,248,Nostrand Av,Nostrand Av,B,3
344,344,249,Kingston Av,Kingston Av,B,3
345,345,250,Crown Hts-Utica Av,Crown Hts-Utica Av,B,3 4
346,346,251,Sutter Av-Rutland Rd,Sutter Av-Rutland Rd,B,3
347,347,252,Saratoga Av,Saratoga Av,B,3
348,348,253,Rockaway Av,Rockaway Av,B,3
349,349,254,Junius St,Junius St,B,3
350,350,255,Pennsylvania Av,Pennsylvania Av,B,3
351,351,256,Van Siclen Av,Van Siclen Av,B,3
352,352,257,New Lots Av,New Lots Av,B,3
620,415,423,Borough Hall/Court St,Borough Hall,B,2 3 4 5 R
447,447,701,Flushing-Main St,Flushing-Main St,Q,7
