trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"01-ABY--10-T3-8605","07:07:00","07:07:00","20043","1","","0","0","0.00"
"01-ABY--10-T3-8605","07:35:00","07:35:00","22254","2","","0","1","27298.68"
"01-ABY--10-T3-8605","08:24:00","08:26:00","20342","3","","0","0","109304.76"
"01-ABY--10-T3-8605","08:37:00","08:37:00","20289","4","","0","0","126589.63"
"01-ABY--10-T3-8605","08:56:00","08:56:00","20312","5","","0","0","187114.84"
"01-ABY--10-T3-8605","09:07:00","09:07:00","20353","6","","0","0","205308.06"
"01-ABY--10-T3-8605","09:22:00","09:24:00","20295","7","","0","0","231429.77"
"01-ABY--10-T3-8605","09:47:00","09:49:00","20356","8","","0","0","270158.31"
"01-ABY--10-T3-8605","10:02:00","10:02:00","22490","9","","0","0","293907.04"
"01-ABY--10-T3-8605","10:10:00","10:10:00","20302","10","","0","0","307692.35"
"01-ABY--10-T3-8605","10:27:00","10:29:00","20360","11","","0","0","335549.75"
"01-ABY--10-T3-8605","10:43:00","10:43:00","20287","12","","1","0","341532.61"
"01-ABY--10-T3-8610","06:45:00","06:45:00","20287","1","","0","0","0.00"
"01-ABY--10-T3-8610","06:54:00","06:56:00","20360","2","","0","0","5982.86"
"01-ABY--10-T3-8610","07:13:00","07:13:00","20302","3","","0","0","33840.26"
"01-ABY--10-T3-8610","07:22:00","07:22:00","22490","4","","0","0","47625.57"
"01-ABY--10-T3-8610","07:36:00","07:38:00","20356","5","","0","0","71374.30"
"01-ABY--10-T3-8610","08:01:00","08:03:00","20295","6","","0","0","110102.84"
"01-ABY--10-T3-8610","08:17:00","08:17:00","20353","7","","0","0","136224.55"
"01-ABY--10-T3-8610","08:27:00","08:27:00","20312","8","","0","0","154417.77"
"01-ABY--10-T3-8610","08:46:00","08:46:00","20289","9","","0","0","214942.98"
"01-ABY--10-T3-8610","09:00:00","09:02:00","20342","10","","0","0","232227.85"
"01-ABY--10-T3-8610","09:53:00","09:53:00","22254","11","","1","0","314233.93"
"01-ABY--10-T3-8610","10:27:00","10:27:00","20043","12","","1","0","343000.65"
"01-ABY--10-T3-8615","12:04:00","12:04:00","20043","1","","0","0","0.00"
"01-ABY--10-T3-8615","12:32:00","12:32:00","22254","2","","0","1","27298.68"
"01-ABY--10-T3-8615","13:21:00","13:23:00","20342","3","","0","0","109304.76"
"01-ABY--10-T3-8615","13:34:00","13:34:00","20289","4","","0","0","126589.63"
"01-ABY--10-T3-8615","13:53:00","13:53:00","20312","5","","0","0","187114.84"
"01-ABY--10-T3-8615","14:04:00","14:04:00","20353","6","","0","0","205308.06"
"01-ABY--10-T3-8615","14:19:00","14:21:00","20295","7","","0","0","231429.77"
"01-ABY--10-T3-8615","14:44:00","14:46:00","20356","8","","0","0","270158.31"
"01-ABY--10-T3-8615","14:59:00","14:59:00","22490","9","","0","0","293907.04"
"01-ABY--10-T3-8615","15:07:00","15:07:00","20302","10","","0","0","307692.35"
"01-ABY--10-T3-8615","15:24:00","15:26:00","20360","11","","0","0","335549.75"
"01-ABY--10-T3-8615","15:40:00","15:40:00","20287","12","","1","0","341532.61"
"01-ABY--10-T3-8617","14:33:00","14:33:00","20043","1","","0","0","0.00"
