route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
"aus:vic:vic-01-ABY:","T3_1","01-ABY--10-T3-8605","1-ABY-mjp-10.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--10-T3-8610","1-ABY-mjp-10.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--10-T3-8615","1-ABY-mjp-10.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--10-T3-8617","1-ABY-mjp-10.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--10-T3-8620","1-ABY-mjp-10.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--10-T3-8625","1-ABY-mjp-10.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--10-T3-8630","1-ABY-mjp-10.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8605","1-ABY-mjp-11.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8610","1-ABY-mjp-11.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8615","1-ABY-mjp-11.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8620","1-ABY-mjp-11.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8625","1-ABY-mjp-11.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8605","1-ABY-mjp-12.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8610","1-ABY-mjp-12.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8615","1-ABY-mjp-12.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8620","1-ABY-mjp-12.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8625","1-ABY-mjp-12.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8630","1-ABY-mjp-12.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--13-T0-8605","1-ABY-mjp-13.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--13-T0-8610","1-ABY-mjp-13.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--13-T0-8615","1-ABY-mjp-13.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--13-T0-8620","1-ABY-mjp-13.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--13-T0-8625","1-ABY-mjp-13.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--14-T2-8605","1-ABY-mjp-14.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--14-T2-8610","1-ABY-mjp-14.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--14-T2-8612","1-ABY-mjp-14.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--14-T2-8615","1-ABY-mjp-14.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--14-T2-8620","1-ABY-mjp-14.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--14-T2-8625","1-ABY-mjp-14.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--15-T3-8605","1-ABY-mjp-15.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--15-T3-8610","1-ABY-mjp-15.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--15-T3-8615","1-ABY-mjp-15.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--15-T3-8617","1-ABY-mjp-15.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--15-T3-8620","1-ABY-mjp-15.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--15-T3-8625","1-ABY-mjp-15.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--15-T3-8630","1-ABY-mjp-15.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8605","1-ABY-mjp-16.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8610","1-ABY-mjp-16.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8615","1-ABY-mjp-16.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8620","1-ABY-mjp-16.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8625","1-ABY-mjp-16.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8605","1-ABY-mjp-17.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8610","1-ABY-mjp-17.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8615","1-ABY-mjp-17.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8620","1-ABY-mjp-17.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8625","1-ABY-mjp-17.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0+WD08","01-ABY--18-T0_WD08-8630","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8605","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8610","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8615","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8620","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8625","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8605","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8610","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8612","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8615","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8620","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8625","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8605","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8610","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8615","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8617","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8620","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8625","1-ABY-mjp-18.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8630","1-ABY-mjp-18.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0+WD08_1","01-ABY--19-T0_WD08-8630","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8605","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8610","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8615","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8620","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8625","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8605","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8610","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8612","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8615","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8620","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8625","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--19-T3-8605","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--19-T3-8610","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--19-T3-8615","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--19-T3-8617","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--19-T3-8620","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--19-T3-8625","1-ABY-mjp-19.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--19-T3-8630","1-ABY-mjp-19.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8605","1-ABY-mjp-20.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8610","1-ABY-mjp-20.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8615","1-ABY-mjp-20.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8620","1-ABY-mjp-20.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8625","1-ABY-mjp-20.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8630","1-ABY-mjp-20.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--21-T2-8605","1-ABY-mjp-21.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--21-T2-8610","1-ABY-mjp-21.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--21-T2-8612","1-ABY-mjp-21.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--21-T2-8615","1-ABY-mjp-21.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--21-T2-8620","1-ABY-mjp-21.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--21-T2-8625","1-ABY-mjp-21.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_5","01-ABY--21-T3-8605","1-ABY-mjp-21.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_5","01-ABY--21-T3-8610","1-ABY-mjp-21.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_5","01-ABY--21-T3-8615","1-ABY-mjp-21.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_5","01-ABY--21-T3-8617","1-ABY-mjp-21.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_5","01-ABY--21-T3-8620","1-ABY-mjp-21.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_5","01-ABY--21-T3-8625","1-ABY-mjp-21.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_5","01-ABY--21-T3-8630","1-ABY-mjp-21.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0+WD08_2","01-ABY--22-T0_WD08-8630","1-ABY-mjp-22.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_14","01-ABY--22-T0-8605","1-ABY-mjp-22.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_14","01-ABY--22-T0-8610","1-ABY-mjp-22.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_14","01-ABY--22-T0-8615","1-ABY-mjp-22.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_14","01-ABY--22-T0-8620","1-ABY-mjp-22.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_14","01-ABY--22-T0-8625","1-ABY-mjp-22.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_6","01-ABY--22-T2-8605","1-ABY-mjp-22.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_6","01-ABY--22-T2-8610","1-ABY-mjp-22.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_6","01-ABY--22-T2-8612","1-ABY-mjp-22.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_6","01-ABY--22-T2-8615","1-ABY-mjp-22.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_6","01-ABY--22-T2-8620","1-ABY-mjp-22.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_6","01-ABY--22-T2-8625","1-ABY-mjp-22.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_6","01-ABY--23-T3-8605","1-ABY-mjp-23.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_6","01-ABY--23-T3-8610","1-ABY-mjp-23.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_6","01-ABY--23-T3-8615","1-ABY-mjp-23.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_6","01-ABY--23-T3-8617","1-ABY-mjp-23.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_6","01-ABY--23-T3-8620","1-ABY-mjp-23.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T3_6","01-ABY--23-T3-8625","1-ABY-mjp-23.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T3_6","01-ABY--23-T3-8630","1-ABY-mjp-23.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0+WD08_3","01-ABY--24-T0_WD08-8630","1-ABY-mjp-24.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_15","01-ABY--24-T0-8605","1-ABY-mjp-24.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_15","01-ABY--24-T0-8610","1-ABY-mjp-24.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_15","01-ABY--24-T0-8615","1-ABY-mjp-24.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T0_15","01-ABY--24-T0-8620","1-ABY-mjp-24.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T0_15","01-ABY--24-T0-8625","1-ABY-mjp-24.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_7","01-ABY--24-T2-8605","1-ABY-mjp-24.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_7","01-ABY--24-T2-8610","1-ABY-mjp-24.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_7","01-ABY--24-T2-8612","1-ABY-mjp-24.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_7","01-ABY--24-T2-8615","1-ABY-mjp-24.1.H","Albury","0","","1","1"
"aus:vic:vic-01-ABY:","T2_7","01-ABY--24-T2-8620","1-ABY-mjp-24.2.R","Southern Cross","1","","1","1"
"aus:vic:vic-01-ABY:","T2_7","01-ABY--24-T2-8625","1-ABY-mjp-24.1.H","Albury","0","","1","1"
