route,hour,day_of_week,is_weekend,temperature,is_raining,nearby_event,prev_passenger_count,passenger_count,vehicle_capacity,data_source,route_avg_demand,is_peak_hour,utilisation,day_name
Route 6 - Industrial Park,18,5,1,32.8,0,0,11,15,100,SYNTHETIC,45.9,1,0.15,Saturday
Route 4 - North Suburbs,13,1,0,24.0,1,0,22,20,100,SYNTHETIC,30.0,0,0.2,Tuesday
Route 2 - Airport Link,19,4,0,19.1,0,0,61,44,100,SYNTHETIC,38.4,1,0.44,Friday
Route 2 - Airport Link,17,3,0,38.0,0,0,35,60,100,SYNTHETIC,38.4,1,0.6,Thursday
Route 9 - East Corridor,7,4,0,29.3,0,0,18,56,100,SYNTHETIC,35.6,1,0.56,Friday
Route 8 - Beach/Leisure,22,0,0,26.5,1,0,13,7,100,SYNTHETIC,27.1,0,0.07,Monday
Route 7 - Hospital Line,18,3,0,22.5,0,0,53,68,100,SYNTHETIC,37.7,1,0.68,Thursday
Route 9 - East Corridor,18,4,0,25.8,0,0,73,42,100,SYNTHETIC,35.6,1,0.42,Friday
Route 1 - City Centre Express,8,2,0,26.1,0,0,97,116,100,SYNTHETIC,55.2,1,1.16,Wednesday
Route 7 - Hospital Line,13,6,1,2.5,0,0,12,14,100,SYNTHETIC,37.7,0,0.14,Sunday
Route 8 - Beach/Leisure,12,3,0,23.2,0,0,12,15,100,SYNTHETIC,27.1,0,0.15,Thursday
Route 3 - University Shuttle,20,2,0,18.7,0,0,60,28,100,SYNTHETIC,37.7,0,0.28,Wednesday
Route 6 - Industrial Park,16,0,0,16.0,0,0,32,42,100,SYNTHETIC,45.9,0,0.42,Monday
Route 8 - Beach/Leisure,19,1,0,18.4,0,0,34,37,100,SYNTHETIC,27.1,1,0.37,Tuesday
Route 7 - Hospital Line,13,3,0,7.6,0,0,26,26,100,SYNTHETIC,37.7,0,0.26,Thursday
Route 3 - University Shuttle,9,2,0,5.6,0,0,90,64,100,SYNTHETIC,37.7,1,0.64,Wednesday
Route 7 - Hospital Line,15,6,1,30.0,0,0,7,22,100,SYNTHETIC,37.7,0,0.22,Sunday
Route 8 - Beach/Leisure,7,5,1,23.7,0,0,13,40,100,SYNTHETIC,27.1,1,0.4,Saturday
Route 1 - City Centre Express,19,1,0,0.7,1,0,111,82,100,SYNTHETIC,55.2,1,0.82,Tuesday
Route 6 - Industrial Park,16,4,0,15.4,0,0,27,34,100,SYNTHETIC,45.9,0,0.34,Friday
Route 6 - Industrial Park,18,3,0,27.0,0,0,79,91,100,SYNTHETIC,45.9,1,0.91,Thursday
Route 4 - North Suburbs,11,0,0,17.8,0,0,16,21,100,SYNTHETIC,30.0,0,0.21,Monday
Route 1 - City Centre Express,21,4,0,30.0,0,0,24,21,100,SYNTHETIC,55.2,0,0.21,Friday
Route 1 - City Centre Express,20,3,0,28.4,0,1,113,44,100,SYNTHETIC,55.2,0,0.44,Thursday
Route 8 - Beach/Leisure,18,0,0,9.1,1,0,46,50,100,SYNTHETIC,27.1,1,0.5,Monday
Route 9 - East Corridor,8,3,0,18.9,0,0,51,57,100,SYNTHETIC,35.6,1,0.57,Thursday
Route 5 - South Connector,13,5,1,16.4,1,0,15,11,100,SYNTHETIC,24.6,0,0.11,Saturday
Route 10 - West Ring,6,2,0,8.9,0,0,3,10,100,SYNTHETIC,26.9,0,0.1,Wednesday
Route 10 - West Ring,8,2,0,8.4,0,0,43,50,100,SYNTHETIC,26.9,1,0.5,Wednesday
Route 7 - Hospital Line,17,0,0,13.6,0,0,29,63,100,SYNTHETIC,37.7,1,0.63,Monday
Route 6 - Industrial Park,18,1,0,14.9,0,0,95,100,100,SYNTHETIC,45.9,1,1.0,Tuesday
Route 10 - West Ring,21,6,1,22.3,0,0,13,13,100,SYNTHETIC,26.9,0,0.13,Sunday
Route 7 - Hospital Line,11,4,0,28.4,0,1,33,35,100,SYNTHETIC,37.7,0,0.35,Friday
Route 10 - West Ring,12,1,0,24.1,0,0,21,22,100,SYNTHETIC,26.9,0,0.22,Tuesday
Route 10 - West Ring,13,3,0,26.0,0,0,23,20,100,SYNTHETIC,26.9,0,0.2,Thursday
