_id,BUSINESS DATE,STATION,00:00 Hrs To     01:00 Hrs,01:00 Hrs To     02:00 Hrs,02:00 Hrs To     03:00 Hrs,03:00 Hrs To     04:00 Hrs,04:00 Hrs To     05:00 Hrs,05:00 Hrs To     06:00 Hrs,06:00 Hrs To     07:00 Hrs,07:00 Hrs To     08:00 Hrs,08:00 Hrs To     09:00 Hrs,09:00 Hrs To     10:00 Hrs,10:00 Hrs To     11:00 Hrs,11:00 Hrs To     12:00 Hrs,12:00 Hrs To     13:00 Hrs,13:00 Hrs To     14:00 Hrs,14:00 Hrs To     15:00 Hrs,15:00 Hrs To     16:00 Hrs,16:00 Hrs To     17:00 Hrs,17:00 Hrs To     18:00 Hrs,18:00 Hrs To     19:00 Hrs,19:00 Hrs To     20:00 Hrs,20:00 Hrs To     21:00 Hrs,21:00 Hrs To     22:00 Hrs,22:00 Hrs To     23:00 Hrs,23:00 Hrs To Last train,TOTAL
1,2025-08-01,11-Baiyappanahalli,0,0,0,0,19,83,215,918,1727,2718,1415,663,563,428,378,456,497,880,942,923,489,373,134,15,13836
2,2025-08-01,12-SV Road,0,0,0,0,7,39,85,334,720,739,557,368,341,318,316,573,866,1078,1068,856,433,211,132,26,9067
3,2025-08-01,13-Indiranagar,0,0,0,0,4,41,175,621,1256,1907,1392,834,776,859,917,1301,1660,2303,3456,2982,1866,1248,712,161,24471
4,2025-08-01,14-Halasuru,0,0,0,0,5,51,192,570,1153,1554,888,496,373,373,417,418,387,566,756,660,580,317,151,17,9924
5,2025-08-01,15-Trinity,0,0,0,0,2,17,50,158,282,332,296,252,361,409,466,537,838,1899,3404,2572,1093,421,319,38,13746
6,2025-08-01,16-MG Road,0,0,0,0,0,8,55,125,315,380,323,617,658,924,1130,1637,1589,2490,3696,3149,2056,1365,1272,367,22156
7,2025-08-01,17-Cubbon Park,0,0,0,0,0,10,77,200,379,470,345,377,496,576,679,802,1113,2143,2963,1932,889,451,277,50,14229
8,2025-08-01,18-Vidhana Soudha,0,0,0,0,0,8,46,112,223,234,378,414,506,683,802,857,995,2869,2381,1132,531,235,69,18,12493
9,2025-08-01,19-Sir.M. Visveshwaraya,0,0,0,0,0,11,43,139,253,314,425,651,927,858,999,1001,1269,2265,2239,1267,768,392,137,12,13970
10,2025-08-01,110-Kempegowda,0,0,0,0,205,625,970,1359,1896,2094,1618,1445,1298,1513,1457,1291,1683,2031,2284,2436,1983,1400,865,197,28650
11,2025-08-01,111-Bangalore City Station,0,0,0,0,57,218,640,659,1118,1514,707,572,455,463,378,272,388,598,605,475,439,543,292,37,10430
12,2025-08-01,112-Magadi Road,0,0,0,0,7,64,149,510,1008,1452,1067,412,304,315,266,248,338,334,426,364,202,173,138,19,7796
13,2025-08-01,113-Hosahalli,0,0,0,0,3,58,180,704,1634,2085,1340,605,482,435,355,320,370,485,533,444,324,192,115,19,10683
14,2025-08-01,114-Vijayanagar,0,0,0,0,6,112,236,820,1732,2466,1484,673,580,493,456,397,443,485,518,546,413,290,218,35,12403
15,2025-08-01,115-Attiguppe,0,0,0,0,6,65,219,646,1338,1818,1039,502,364,336,318,317,307,324,371,369,329,202,141,23,9034
16,2025-08-01,116-Deepanjali Nagar,0,0,0,0,8,56,121,292,594,676,468,204,188,164,132,124,159,195,190,246,165,157,70,15,4224
17,2025-08-01,117-Mysuru Road,0,0,0,0,6,30,142,439,1102,1306,737,333,249,210,200,180,281,272,273,241,162,123,74,4,6364
18,2025-08-01,118-Nayandahalli,0,0,0,0,0,7,44,124,220,248,163,99,121,108,89,136,110,122,165,150,134,73,90,3,2206
19,2025-08-01,119-Rajarajeshwari Nagar,1,0,0,0,0,39,135,434,752,923,542,354,284,287,217,251,266,378,341,303,248,137,128,11,6031
20,2025-08-01,120-Jnanabharathi,0,0,0,0,0,28,123,349,676,764,516,297,192,178,155,152,180,206,160,170,83,63,52,8,4352
21,2025-08-01,121-Pattangere,0,0,0,0,0,50,91,277,554,649,363,177,362,374,213,424,518,519,475,300,150,132,80,15,5723
22,2025-08-01,122-Kengeri Bus Terminal,0,0,0,0,8,50,119,499,790,923,555,445,444,307,286,282,350,406,358,380,288,215,89,5,6799
23,2025-08-01,123-Kengeri,0,0,0,0,9,29,112,319,818,865,476,321,245,218,173,242,228,256,409,348,263,121,111,1,5564
24,2025-08-01,124-Challaghatta,0,0,0,0,5,17,112,231,572,555,340,388,231,343,297,451,582,565,605,494,191,119,45,3,6146
25,2025-08-01,125-Benniganahalli,1,0,0,0,34,182,427,1239,3095,3674,2723,1529,1173,983,1016,944,1281,1636,1819,1901,1306,786,440,54,26243
26,2025-08-01,126-Krishnarajapura,0,0,0,0,11,154,249,978,1832,2600,1413,1178,886,719,609,867,1280,1560,1581,1436,1108,802,341,38,19642
27,2025-08-01,127-Singayyanapalya,0,0,0,0,2,36,120,251,615,825,539,338,278,301,310,354,531,687,835,834,642,479,453,45,8475
28,2025-08-01,128-Garudacharpalya,0,0,0,0,5,46,146,254,514,493,353,247,209,303,275,386,694,1020,1262,893,555,388,269,25,8337
29,2025-08-01,129-Hoodi,0,0,0,0,0,54,110,266,686,802,518,349,273,264,288,307,434,565,843,670,544,403,212,0,7588
30,2025-08-01,130-Seetharampalya,0,0,0,0,3,27,99,227,452,553,380,235,220,373,367,495,957,1285,1471,1126,667,469,302,25,9733
31,2025-08-01,131-Kundalahalli,4,0,0,0,0,27,89,143,248,329,202,199,193,387,392,705,1124,1255,1384,1031,550,486,199,8,8955
32,2025-08-01,132-Nallur Halli,0,0,0,0,0,11,60,157,300,371,287,179,240,340,366,659,1144,1179,1425,1110,661,399,192,9,9089
33,2025-08-01,133-Sri Sathya Sai Hospital,2,0,0,0,0,19,66,75,105,135,167,237,361,463,430,695,1278,1630,2020,1235,709,324,111,37,10099
34,2025-08-01,134-Pattandur Agrahara,11,0,0,0,5,22,87,139,228,261,276,340,477,667,638,946,1506,1929,2117,1629,990,651,346,36,13301
35,2025-08-01,135-Kadugodi Tree Park,1,0,0,0,1,70,225,482,1522,2165,1708,935,570,535,400,391,471,666,779,816,671,535,240,8,13191
36,2025-08-01,136-Hopefarm Channasandra,1,0,0,0,1,15,43,110,400,554,271,131,92,81,77,70,121,155,207,176,121,69,40,0,2735
37,2025-08-01,137-Whitefield (Kadugodi),0,0,0,0,1,99,228,690,1337,1485,908,484,340,302,307,280,317,373,399,461,291,185,55,0,8542
38,2025-08-01,21-Nagasandra,0,0,0,0,1,49,165,698,1438,1577,782,454,372,332,319,381,683,653,758,638,331,256,131,2,10020
39,2025-08-01,22-Dasarahalli,0,0,0,0,0,98,245,808,1615,1774,1116,580,566,460,485,387,496,478,606,592,405,253,123,8,11095
40,2025-08-01,23-Jalahalli,0,0,0,0,1,58,129,418,753,909,573,404,338,297,298,254,346,520,739,549,370,241,131,7,7335
41,2025-08-01,24-Peenya Industry,0,0,0,0,0,10,42,147,277,290,203,129,87,77,108,76,108,258,313,207,90,42,17,0,2481
42,2025-08-01,25-Peenya,0,0,0,0,0,18,64,229,529,588,380,192,156,143,123,138,218,395,414,322,166,84,42,7,4208
43,2025-08-01,26-Yeshwanthpur Industry,0,0,0,0,3,48,128,319,593,694,493,320,293,301,243,314,397,530,958,765,501,235,134,21,7290
44,2025-08-01,27-Yeshwanthpur,0,0,0,0,75,648,355,998,1008,751,703,392,545,474,418,258,253,579,616,742,1064,378,332,54,10643
45,2025-08-01,28-Sandal Soap Factory,0,0,0,0,5,34,78,250,560,551,382,345,436,399,508,536,754,1024,1469,1266,895,617,428,81,10618
46,2025-08-01,29-Mahalakshmi,0,0,0,0,5,54,156,473,1037,1227,836,404,496,448,365,373,350,555,673,508,417,258,99,16,8750
47,2025-08-01,210-Rajajinagar,0,0,0,0,16,66,161,593,1323,1513,935,565,526,550,552,495,621,684,934,810,544,349,170,30,11437
48,2025-08-01,211-Kuvempu Road,0,0,0,0,7,35,98,348,776,1015,576,316,266,212,205,210,224,267,260,372,212,140,64,10,5613
49,2025-08-01,212-Srirampura,0,0,0,0,1,38,89,357,732,957,596,326,276,254,226,235,270,286,425,360,223,172,86,10,5919
50,2025-08-01,213-Mantri Square Sampige Road,0,0,0,0,3,42,95,386,901,1096,774,552,729,875,1038,912,1186,1504,1905,1788,1310,869,572,65,16602
51,2025-08-01,215-Chickpete,0,0,0,0,0,11,52,203,278,354,233,324,476,760,1122,1215,1275,1393,1442,1517,1450,740,146,14,13005
52,2025-08-01,216-KR Market,0,0,0,0,3,53,105,206,426,483,379,391,506,531,534,610,922,777,816,808,698,375,147,24,8794
53,2025-08-01,217-National College,0,0,0,0,0,27,91,441,777,936,817,576,576,886,962,886,919,958,1144,972,589,375,178,13,12123
54,2025-08-01,218-Lalbagh,0,0,0,0,4,11,44,141,265,317,223,208,224,249,286,359,564,735,983,892,313,176,79,14,6087
55,2025-08-01,219-South End Circle,0,0,0,0,1,18,59,172,335,372,318,232,371,624,538,613,813,832,1196,1073,550,266,123,16,8522
56,2025-08-01,220-Jayanagar,0,0,0,0,9,35,104,301,668,772,656,504,635,684,730,830,1637,1327,1657,1420,992,658,319,23,13961
57,2025-08-01,221-RV Road,0,0,0,0,2,26,71,245,590,709,525,331,360,424,462,421,634,734,1106,999,599,366,150,33,8787
58,2025-08-01,222-Banashankarl,0,0,0,0,0,56,174,493,1195,1341,996,741,866,930,749,634,891,1216,1393,1444,1039,661,330,35,15184
59,2025-08-01,223-JP Nagar,0,0,0,0,2,73,138,485,1233,1428,842,463,483,418,412,426,578,711,940,889,584,405,223,27,10760
60,2025-08-01,224-Puttenahalli,0,0,0,0,8,46,143,637,1562,1720,957,473,437,320,283,521,609,511,683,622,378,268,166,6,10350
