Date,Hour,Station,Entries,Exits
2022-01-01,0,Taipei Main Station,280,246
2022-01-01,0,Zhongxiao Fuxing,197,150
2022-01-01,0,Ximen,170,163
2022-01-01,0,Banqiao,133,150
2022-01-01,0,Taipei City Hall,134,125
2022-01-01,0,Nanjing Fuxing,121,108
2022-01-01,0,Guting,104,98
2022-01-01,0,Dongmen,97,78
2022-01-01,0,Da'an,95,84
2022-01-01,0,Zhongshan,92,77
2022-01-01,0,Shilin,87,76
2022-01-01,0,Gongguan,73,57
2022-01-01,0,Yongning,59,61
2022-01-01,0,Nangang,65,55
2022-01-01,0,Songshan Airport,63,53
2022-01-01,0,Jiantan,48,56
2022-01-01,0,Xindian,52,59
2022-01-01,0,Muzha,46,60
2022-01-01,0,Beitou,46,44
2022-01-01,0,Tamsui,55,43
2022-01-01,0,Xiaobitan,20,29
2022-01-01,0,Yuanshan,41,34
2022-01-01,0,Zhishan,26,26
2022-01-01,0,Daqiaotou,37,29
2022-01-01,0,Wanlong,41,27
2022-01-01,0,Jingmei,36,27
2022-01-01,0,Qizhang,20,22
2022-01-01,0,Xindian District Office,35,34
2022-01-01,0,Nangang Exhibition Center,54,43
2022-01-01,0,Taipei Zoo,29,26
2022-01-01,1,Taipei Main Station,155,104
2022-01-01,1,Zhongxiao Fuxing,91,82
2022-01-01,1,Ximen,79,83
2022-01-01,1,Banqiao,73,58
2022-01-01,1,Taipei City Hall,64,70
2022-01-01,1,Nanjing Fuxing,74,66
2022-01-01,1,Guting,57,65
2022-01-01,1,Dongmen,57,56
2022-01-01,1,Da'an,43,50
2022-01-01,1,Zhongshan,50,42
2022-01-01,1,Shilin,55,46
2022-01-01,1,Gongguan,31,36
2022-01-01,1,Yongning,30,29
2022-01-01,1,Nangang,39,35
2022-01-01,1,Songshan Airport,28,27
2022-01-01,1,Jiantan,31,26
2022-01-01,1,Xindian,24,29
2022-01-01,1,Muzha,18,31
2022-01-01,1,Beitou,25,18
2022-01-01,1,Tamsui,29,29
2022-01-01,1,Xiaobitan,7,14
2022-01-01,1,Yuanshan,28,20
2022-01-01,1,Zhishan,14,18
2022-01-01,1,Daqiaotou,19,10
2022-01-01,1,Wanlong,14,11
2022-01-01,1,Jingmei,28,12
2022-01-01,1,Qizhang,14,17
2022-01-01,1,Xindian District Office,13,24
2022-01-01,1,Nangang Exhibition Center,30,28
2022-01-01,1,Taipei Zoo,15,15
2022-01-01,2,Taipei Main Station,54,45
2022-01-01,2,Zhongxiao Fuxing,35,26
2022-01-01,2,Ximen,32,34
2022-01-01,2,Banqiao,40,26
2022-01-01,2,Taipei City Hall,20,27
2022-01-01,2,Nanjing Fuxing,26,19
2022-01-01,2,Guting,25,23
2022-01-01,2,Dongmen,17,20
2022-01-01,2,Da'an,20,12
2022-01-01,2,Zhongshan,15,12
2022-01-01,2,Shilin,11,15
2022-01-01,2,Gongguan,22,14
2022-01-01,2,Yongning,12,7
2022-01-01,2,Nangang,17,12
2022-01-01,2,Songshan Airport,8,8
2022-01-01,2,Jiantan,13,16
2022-01-01,2,Xindian,13,8
2022-01-01,2,Muzha,8,10
2022-01-01,2,Beitou,9,14
2022-01-01,2,Tamsui,8,6
2022-01-01,2,Xiaobitan,0,4
2022-01-01,2,Yuanshan,5,14
2022-01-01,2,Zhishan,7,9
2022-01-01,2,Daqiaotou,7,8
2022-01-01,2,Wanlong,6,5
2022-01-01,2,Jingmei,7,8
2022-01-01,2,Qizhang,8,2
2022-01-01,2,Xindian District Office,4,5
2022-01-01,2,Nangang Exhibition Center,8,8
2022-01-01,2,Taipei Zoo,6,5
2022-01-01,3,Taipei Main Station,44,28
2022-01-01,3,Zhongxiao Fuxing,16,24
2022-01-01,3,Ximen,24,23
2022-01-01,3,Banqiao,19,20
2022-01-01,3,Taipei City Hall,21,17
2022-01-01,3,Nanjing Fuxing,14,19
2022-01-01,3,Guting,14,12
2022-01-01,3,Dongmen,11,17
2022-01-01,3,Da'an,8,12
2022-01-01,3,Zhongshan,11,19
2022-01-01,3,Shilin,9,13
2022-01-01,3,Gongguan,14,8
2022-01-01,3,Yongning,15,12
2022-01-01,3,Nangang,7,6
2022-01-01,3,Songshan Airport,5,7
2022-01-01,3,Jiantan,4,6
2022-01-01,3,Xindian,3,9
2022-01-01,3,Muzha,2,5
2022-01-01,3,Beitou,7,6
2022-01-01,3,Tamsui,6,7
2022-01-01,3,Xiaobitan,2,2
2022-01-01,3,Yuanshan,1,6
