Date,Hour,Station,DelayMinutes
2022-01-01,0,Banqiao,5.6
2022-01-01,0,Dongmen,3.3
2022-01-01,3,Zhongxiao Fuxing,1.0
2022-01-01,3,Xiaobitan,2.4
2022-01-01,3,Zhishan,1.6
2022-01-01,4,Xiaobitan,2.1
2022-01-01,6,Ximen,4.7
2022-01-01,6,Daqiaotou,3.6
2022-01-01,6,Taipei Zoo,7.9
2022-01-01,7,Xindian,3.4
2022-01-01,7,Beitou,4.1
2022-01-01,8,Banqiao,2.7
2022-01-01,8,Yuanshan,3.9
2022-01-01,9,Taipei Main Station,5.5
2022-01-01,9,Guting,2.1
2022-01-01,9,Zhongshan,7.8
2022-01-01,9,Beitou,18.8
2022-01-01,9,Yuanshan,6.1
2022-01-01,9,Zhishan,13.8
2022-01-01,9,Nangang Exhibition Center,11.4
2022-01-01,10,Beitou,2.1
2022-01-01,10,Yuanshan,7.5
2022-01-01,11,Zhongxiao Fuxing,16.9
2022-01-01,11,Banqiao,10.0
2022-01-01,11,Shilin,4.5
2022-01-01,11,Xindian,2.7
2022-01-01,11,Xiaobitan,3.0
2022-01-01,12,Guting,9.1
2022-01-01,12,Zhongshan,9.9
2022-01-01,12,Yongning,5.6
2022-01-01,12,Muzha,3.5
2022-01-01,12,Xindian District Office,7.1
2022-01-01,13,Nanjing Fuxing,0.8
2022-01-01,13,Yuanshan,10.9
2022-01-01,13,Xindian District Office,5.6
2022-01-01,14,Dongmen,3.3
2022-01-01,14,Xindian,3.0
2022-01-01,14,Tamsui,19.8
2022-01-01,14,Xiaobitan,2.0
2022-01-01,14,Yuanshan,6.6
2022-01-01,14,Zhishan,10.8
2022-01-01,15,Gongguan,2.2
2022-01-01,15,Taipei Zoo,6.9
2022-01-01,16,Ximen,4.9
2022-01-01,16,Dongmen,10.7
2022-01-01,16,Shilin,2.1
2022-01-01,16,Gongguan,10.5
2022-01-01,16,Yongning,3.5
2022-01-01,16,Yuanshan,3.1
2022-01-01,16,Taipei Zoo,1.5
2022-01-01,17,Guting,2.8
2022-01-01,17,Dongmen,9.0
2022-01-01,18,Nangang,7.1
2022-01-01,18,Jiantan,6.6
2022-01-01,18,Tamsui,8.1
2022-01-01,19,Nangang,7.6
2022-01-01,20,Da'an,5.7
2022-01-01,20,Yuanshan,6.9
2022-01-01,21,Ximen,6.6
2022-01-01,21,Shilin,3.3
2022-01-01,22,Guting,2.7
2022-01-01,22,Nangang,8.1
2022-01-01,22,Daqiaotou,9.8
2022-01-01,23,Taipei Main Station,10.8
2022-01-01,23,Ximen,1.8
2022-01-01,23,Da'an,0.9
2022-01-01,23,Wanlong,3.0
2022-01-02,0,Taipei Zoo,5.5
2022-01-02,1,Shilin,1.9
2022-01-02,1,Songshan Airport,2.2
2022-01-02,3,Da'an,0.5
2022-01-02,3,Daqiaotou,1.5
2022-01-02,4,Jiantan,1.2
2022-01-02,5,Ximen,6.0
2022-01-02,5,Xindian District Office,5.6
2022-01-02,7,Gongguan,3.5
2022-01-02,8,Zhishan,4.0
2022-01-02,8,Xindian District Office,1.0
2022-01-02,9,Taipei Main Station,2.9
2022-01-02,9,Zhongxiao Fuxing,4.4
2022-01-02,9,Shilin,14.3
2022-01-02,9,Tamsui,6.3
2022-01-02,10,Nanjing Fuxing,3.2
2022-01-02,10,Yuanshan,1.0
2022-01-02,10,Zhishan,3.4
2022-01-02,10,Wanlong,21.8
2022-01-02,10,Taipei Zoo,1.4
2022-01-02,11,Nanjing Fuxing,8.6
2022-01-02,11,Dongmen,4.2
2022-01-02,11,Nangang,11.6
2022-01-02,11,Nangang Exhibition Center,4.3
2022-01-02,11,Taipei Zoo,10.5
2022-01-02,12,Taipei Main Station,5.7
2022-01-02,12,Zhongxiao Fuxing,14.3
2022-01-02,12,Nanjing Fuxing,5.7
2022-01-02,12,Guting,8.5
2022-01-02,12,Yongning,8.8
2022-01-02,12,Nangang,13.0
2022-01-02,12,Jiantan,6.8
2022-01-02,12,Xindian District Office,5.3
2022-01-02,12,Nangang Exhibition Center,6.3
2022-01-02,13,Yuanshan,6.5
2022-01-02,13,Daqiaotou,9.0
2022-01-02,14,Zhongxiao Fuxing,2.8
2022-01-02,14,Gongguan,6.1
2022-01-02,14,Beitou,4.2
2022-01-02,14,Qizhang,7.4
2022-01-02,15,Nanjing Fuxing,1.8
2022-01-02,15,Yongning,13.5
2022-01-02,15,Zhishan,2.9
2022-01-02,15,Xindian District Office,1.9
2022-01-02,17,Taipei Main Station,7.3
2022-01-02,17,Shilin,3.2
2022-01-02,17,Gongguan,6.0
2022-01-02,18,Ximen,13.2
2022-01-02,18,Nanjing Fuxing,9.3
2022-01-02,18,Yuanshan,22.2
2022-01-02,18,Zhishan,4.7
2022-01-02,18,Qizhang,1.9
2022-01-02,19,Zhongxiao Fuxing,3.4
2022-01-02,20,Wanlong,11.6
2022-01-02,20,Jingmei,8.1
2022-01-02,21,Ximen,7.1
2022-01-02,21,Da'an,7.4
2022-01-02,21,Jiantan,9.0
2022-01-02,22,Qizhang,1.3
2022-01-02,23,Jingmei,2.7
2022-01-03,0,Dongmen,2.3
2022-01-03,6,Shilin,11.6
2022-01-03,6,Beitou,8.9
2022-01-03,7,Da'an,4.1
2022-01-03,7,Shilin,2.7
2022-01-03,7,Daqiaotou,6.9
2022-01-03,7,Wanlong,3.5
2022-01-03,8,Zhongshan,5.5
2022-01-03,8,Yongning,42.5
2022-01-03,8,Xindian,4.1
2022-01-03,8,Xiaobitan,13.7
2022-01-03,8,Yuanshan,10.3
2022-01-03,8,Jingmei,5.5
2022-01-03,8,Taipei Zoo,18.8
2022-01-03,9,Yuanshan,5.3
2022-01-03,9,Qizhang,4.4
2022-01-03,9,Xindian District Office,3.1
2022-01-03,10,Zhongshan,2.4
2022-01-03,10,Xindian,9.1
2022-01-03,10,Xindian District Office,10.8
2022-01-03,12,Ximen,17.0
2022-01-03,12,Taipei City Hall,4.7
2022-01-03,12,Xiaobitan,14.4
2022-01-03,12,Yuanshan,1.7
2022-01-03,12,Taipei Zoo,4.3
2022-01-03,13,Taipei Main Station,3.1
2022-01-03,13,Banqiao,12.3
2022-01-03,13,Nanjing Fuxing,9.6
2022-01-03,14,Ximen,9.7
2022-01-03,14,Banqiao,8.4
2022-01-03,15,Zhongxiao Fuxing,9.5
2022-01-03,15,Banqiao,12.1
2022-01-03,15,Taipei City Hall,9.8
2022-01-03,15,Muzha,14.2
2022-01-03,15,Beitou,2.0
2022-01-03,15,Zhishan,13.5
2022-01-03,16,Banqiao,5.6
2022-01-03,16,Taipei City Hall,7.8
2022-01-03,16,Da'an,4.5
2022-01-03,16,Gongguan,8.8
2022-01-03,16,Jiantan,7.8
2022-01-03,17,Yongning,11.8
2022-01-03,17,Nangang,7.0
2022-01-03,17,Zhishan,3.5
2022-01-03,17,Daqiaotou,7.3
2022-01-03,17,Xindian District Office,1.5
2022-01-03,17,Nangang Exhibition Center,2.8
2022-01-03,18,Zhongshan,5.9
2022-01-03,18,Qizhang,4.6
2022-01-03,19,Taipei Main Station,1.8
2022-01-03,19,Da'an,7.6
2022-01-03,19,Zhongshan,5.7
2022-01-03,19,Muzha,6.4
2022-01-03,19,Xiaobitan,2.5
2022-01-03,19,Yuanshan,9.6
2022-01-03,20,Guting,2.4
2022-01-03,20,Beitou,4.3
2022-01-03,20,Xiaobitan,3.4
2022-01-03,21,Banqiao,15.5
2022-01-03,21,Yongning,5.1
2022-01-03,22,Shilin,5.9
2022-01-03,23,Xindian District Office,8.1
2022-01-04,1,Songshan Airport,4.4
2022-01-04,2,Nangang,3.8
2022-01-04,3,Xindian District Office,2.7
2022-01-04,4,Guting,1.3
2022-01-04,5,Gongguan,4.7
2022-01-04,5,Qizhang,6.1
2022-01-04,6,Beitou,5.5
2022-01-04,6,Daqiaotou,3.3
2022-01-04,7,Banqiao,5.7
2022-01-04,7,Tamsui,7.5
2022-01-04,7,Yuanshan,14.6
2022-01-04,7,Wanlong,4.5
2022-01-04,8,Dongmen,6.8
2022-01-04,8,Gongguan,15.3
2022-01-04,8,Nangang,11.8
2022-01-04,8,Songshan Airport,17.7
2022-01-04,9,Xindian,7.6
2022-01-04,9,Wanlong,14.1
2022-01-04,9,Jingmei,19.1
2022-01-04,10,Taipei Main Station,11.2
2022-01-04,10,Banqiao,3.5
2022-01-04,10,Shilin,6.7
2022-01-04,11,Muzha,5.3
2022-01-04,11,Zhishan,0.5
2022-01-04,11,Wanlong,16.9
2022-01-04,11,Taipei Zoo,5.0
2022-01-04,12,Taipei City Hall,2.9
2022-01-04,12,Beitou,1.5
2022-01-04,12,Wanlong,1.3
2022-01-04,12,Nangang Exhibition Center,2.7
2022-01-04,13,Dongmen,0.7
2022-01-04,13,Nangang,1.7
2022-01-04,13,Tamsui,11.4
2022-01-04,13,Taipei Zoo,1.1
2022-01-04,14,Nanjing Fuxing,3.3
2022-01-04,14,Beitou,5.6
2022-01-04,15,Zhongxiao Fuxing,18.1
2022-01-04,15,Banqiao,8.4
2022-01-04,15,Taipei City Hall,7.2
2022-01-04,15,Gongguan,11.2
2022-01-04,15,Daqiaotou,13.6
2022-01-04,15,Nangang Exhibition Center,2.2
2022-01-04,16,Zhongshan,7.0
2022-01-04,16,Nangang,4.5
2022-01-04,16,Zhishan,8.9
2022-01-04,17,Songshan Airport,5.8
2022-01-04,17,Xindian,1.0
2022-01-04,17,Beitou,7.6
2022-01-04,17,Daqiaotou,6.0
2022-01-04,17,Taipei Zoo,6.3
2022-01-04,18,Taipei Main Station,17.9
2022-01-04,18,Dongmen,2.2
2022-01-04,18,Xindian,16.2
2022-01-04,18,Yuanshan,4.6
2022-01-04,18,Qizhang,6.5
2022-01-04,18,Xindian District Office,1.0
2022-01-04,18,Nangang Exhibition Center,18.9
2022-01-04,19,Zhongxiao Fuxing,14.2
2022-01-04,19,Banqiao,7.8
2022-01-04,19,Taipei City Hall,1.7
2022-01-04,19,Shilin,4.5
2022-01-04,19,Yongning,14.5
2022-01-04,19,Jiantan,4.9
2022-01-04,19,Daqiaotou,4.4
2022-01-04,19,Qizhang,3.2
2022-01-04,19,Xindian District Office,9.6
2022-01-04,20,Da'an,24.8
2022-01-04,20,Beitou,2.7
2022-01-04,20,Tamsui,12.3
2022-01-04,20,Daqiaotou,5.7
2022-01-04,20,Qizhang,10.4
2022-01-04,21,Da'an,25.2
2022-01-04,21,Shilin,0.7
2022-01-04,21,Yongning,2.3
2022-01-04,22,Songshan Airport,5.9
2022-01-04,23,Da'an,6.7
2022-01-04,23,Zhongshan,2.9
2022-01-04,23,Xiaobitan,1.5
2022-01-05,1,Gongguan,2.2
2022-01-05,1,Yuanshan,4.8
2022-01-05,2,Guting,3.3
2022-01-05,3,Songshan Airport,1.8
2022-01-05,4,Nanjing Fuxing,8.8
2022-01-05,5,Nanjing Fuxing,2.0
2022-01-05,7,Nangang,13.4
2022-01-05,7,Beitou,9.3
2022-01-05,7,Tamsui,5.9
2022-01-05,7,Yuanshan,7.6
2022-01-05,8,Zhongxiao Fuxing,6.4
2022-01-05,8,Guting,3.8
2022-01-05,8,Dongmen,11.7
2022-01-05,8,Gongguan,14.4
2022-01-05,8,Jiantan,13.2
2022-01-05,8,Xindian,14.0
2022-01-05,8,Zhishan,8.6
2022-01-05,8,Daqiaotou,4.8
2022-01-05,8,Taipei Zoo,15.8
2022-01-05,10,Nanjing Fuxing,1.5
2022-01-05,10,Dongmen,0.6
2022-01-05,10,Tamsui,20.0
2022-01-05,11,Zhongxiao Fuxing,7.5
2022-01-05,11,Gongguan,4.4
2022-01-05,11,Yongning,6.6
2022-01-05,12,Zhongxiao Fuxing,8.1
2022-01-05,12,Taipei City Hall,1.9
2022-01-05,12,Dongmen,1.6
2022-01-05,12,Qizhang,7.2
2022-01-05,12,Taipei Zoo,4.8
2022-01-05,13,Zhongxiao Fuxing,2.2
2022-01-05,13,Ximen,2.1
2022-01-05,13,Banqiao,2.2
2022-01-05,13,Zhongshan,6.9
2022-01-05,13,Gongguan,3.0
2022-01-05,13,Nangang,3.5
2022-01-05,13,Qizhang,4.5
2022-01-05,13,Xindian District Office,15.3
2022-01-05,13,Nangang Exhibition Center,1.1
2022-01-05,14,Jiantan,10.2
2022-01-05,15,Guting,3.7
2022-01-05,15,Beitou,19.9
2022-01-05,16,Da'an,7.4
2022-01-05,17,Ximen,0.7
2022-01-05,17,Da'an,3.7
2022-01-05,17,Gongguan,7.6
2022-01-05,17,Xiaobitan,22.7
2022-01-05,17,Taipei Zoo,7.3
2022-01-05,18,Nanjing Fuxing,10.7
2022-01-05,18,Guting,2.8
2022-01-05,18,Zhongshan,13.6
2022-01-05,18,Xindian,5.1
2022-01-05,18,Tamsui,14.9
2022-01-05,18,Jingmei,6.5
2022-01-05,19,Songshan Airport,3.3
2022-01-05,19,Beitou,2.9
2022-01-05,19,Yuanshan,12.2
2022-01-05,20,Ximen,4.2
