station_id,day_of_week,day_name,optimal_frequencies,peak_hours,off_peak_hours,total_trains_needed
0,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",[],48
1,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 5, 7, 8, 14, 19, 22]","[1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23]",48
2,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[2, 3, 7, 10, 12, 14, 16, 18, 19]","[0, 1, 4, 5, 6, 8, 9, 11, 13, 15, 17, 20, 21, 22, 23]",48
3,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 4, 6, 13, 15, 20]","[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 21, 22, 23]",48
4,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 1, 2, 4, 5, 7, 8, 10, 13, 17, 18, 19, 20, 22, 23]","[3, 6, 9, 11, 12, 14, 15, 16, 21]",48
5,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[2, 3, 4, 10, 14, 15, 16, 20, 22]","[0, 1, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 21, 23]",48
6,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 3, 5, 9, 10, 12, 13, 14, 17, 19, 21, 22]","[1, 2, 4, 6, 7, 8, 11, 15, 16, 18, 20, 23]",48
7,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 8, 9, 10, 17, 20, 22]","[0, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 18, 19, 21, 23]",48
8,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 2, 3, 4, 6, 12, 13, 15, 18, 19, 21, 22, 23]","[1, 5, 7, 8, 9, 10, 11, 14, 16, 17, 20]",48
9,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[4, 8, 9, 11, 14, 15, 16, 19, 22, 23]","[0, 1, 2, 3, 5, 6, 7, 10, 12, 13, 17, 18, 20, 21]",48
10,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 2, 3, 6, 8, 9, 11, 12, 16, 18, 19, 20, 23]","[1, 4, 5, 7, 10, 13, 14, 15, 17, 21, 22]",48
11,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[2, 12, 14, 15, 21, 23]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17, 18, 19, 20, 22]",48
12,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[3, 6, 16, 17, 19, 21, 22]","[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 23]",48
13,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[3, 4, 5, 7, 9, 10, 12, 13, 19, 20, 21, 22]","[0, 1, 2, 6, 8, 11, 14, 15, 16, 17, 18, 23]",48
14,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 2, 5, 6, 7, 8, 10, 11, 15, 17, 18, 19, 23]","[0, 3, 4, 9, 12, 13, 14, 16, 20, 21, 22]",48
15,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[3, 14, 18, 20, 21, 23]","[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 22]",48
16,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[4, 5, 8, 10, 11, 18, 21, 22]","[0, 1, 2, 3, 6, 7, 9, 12, 13, 14, 15, 16, 17, 19, 20, 23]",48
